id,url,title,text
1,,,
2,,,
3,,,
4,,,
5,,,
6,,The Effect of Window State on User Behavior in an On-Line Computer Mediated Conference,
7,,Terence C. Ahem,
8,,Texas Tech University,
9,,,
10,,"Abstract 
The goal of this study was to investigate the effect the 	window state and management on the ability of users 	to maintain coherent interaction within an on-line me­.diated conference. Industry design practice suggests 	that users should be able have direct control of the windowing display system. In order to conform to in­	dustry practice the IdeaWeb was redesigned from a . single window display system to a modeless tiled win­dow display system. It was assumed that a modeless 	windowing system would be preferable because the underlying graphic display system was dynamic.",
11,,The results indicate that the students generally opted for a single window display system which is consistent with much of the previous research. Se­quence data from the event logs demonstrate that stu­dents chose to treat the modeless window as static or modal. It appears that the students were concentrating on the cognitive task of managing the on-going com­puter mediated discussion.,
12,,"This study has important consequences for screen and window design not only for developing on-line conference systems, but within multimedia systems that have dense cognitive material. If the cognitive re­quirements of the main window are high, then a titled windowing system that requires little user intervention appears to be the design choice. However, if the re­quirement to recall information from window to win­dow is low then a single window system display sys­tem is more appropriate. This would reduce not only the cognitive but the design and programming over­head as well.",
13,,"Keywords - windows, computer -mediated commu­nication, small group discussion.",
14,,1. Introduction,
15,,Collaborative learning as an instructional method has a long history. It can be found in the Academy of Plato to the one room school house of the 19th century. The positive effects of the many different forms of collabo­rative learning have been well documented. [l).,
16,,,
17,,"Social learning environments create situations in which schoolwork is perceived not as a ""task"" or ""chore"" but as an opportunity to interact on issues of personal importance. The advantage of authentic inter­action provides not only individual cognitive develop­ment but also creates an important social environment with far reaching consequences. One of the many ben­efits of collaborative learning is that it requires students to challenge, reject or integrate the new information [2] which leads to deeper understanding. 	In a social environment students engage their peers with talk that informs, explains, persuades or even entertains. This process is provides what Stasser and Davis [3) terms knowledge building and is accomplished when one tests an understanding against the ""common authority"" and requires access to multiple perspectives other than one's own.",
18,,"Even though collaborative learning is viewed as a legitimate method for classroom instruction, experts suggest that less than 10 percent of the nations schools regularly use cooperative learning techniques [4). Im­plementing a change from the traditional classroom to one that values discourse, therefore, is not a simple matter. However, networking technology may provide a solution to this dilemma. In fact ""Technology is a great Trojan Horse ... It is a great way to get coopera­tive learning in the door"" [4, p. 27). By providing the opportunity for authentic peer interaction, each student will development an awareness of authorship and the need for rhetorical competence. However, most com­puter systems were initially not developed for the more dynamic simultaneous multi-channel interaction of group interaction. Typically, ""E-mail is a great tool for person-to-person messaging but it fall flat when you 're coordinating a discussion ... Traditional E-mail pack­ages just weren't designed with work groups in mind: [5]. R. L. Bangert-Drowns [6) suggests that ""different communication interfaces might be suited to different instructional tasks. In situations where students are not just discussing, but collaborating on goal-focused work . . .  different interfaces might be needed"". Levin, Kirn and Riel concur and speculate that ""once we have a more detailed understanding of the nature of the in-",
19,,,
20,,,
21,,,
22,,,
23,,,
24,,"teraction, we will be in a good position to address the issue of which medium is effective and for what pur­pose"" [7,p.185]. Consequently, group interaction is hampered by the design of the user interface.",
25,,"One area in which the typical social computing application breaks down is in its inability to manage the development of coherent discourse over time. McGrath [8] observed that when members can choose when to participate an unpredictable lag in feedback is created in contrast to typical face-to-face. In real time interaction an individual has the ability to index multi­ple speakers by tracking who-said-what-to whom­when. The ability to keep track of an ongoing conver­sation is accomplished through the use of turn-taking rules where one participant takes control of the floor and continues until they relinquish it to another which results in an orderly ""distribution of talk among the various members"" [9, p 296]. This indexing mecha­nism allows an individual to cogently and appropri­ately respond to a variety of different speakers at dif­ferent times [9 p 296].",
