id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.type[en_US]
"7cbad35a-1857-4b3b-8ad1-d164925776eb","1/4300","Abowd, Gregory D.||da Graca Pimentel, Maria||Kerimbaev, Bolot||Ishiguro, Yoshihide||Guzdial, Mark","2020-02-19T19:11:37Z","2020-02-18T21:12:03Z","2020-02-19T19:11:37Z","2020-02-18T21:12:03Z","1999-12","Collaborative environments typically provide a medium for realizing or capturing discussion. While valuable, the discussion is often decontextualized from the situation in which it makes sense. Anchored collaboration environments provide a mechanism for connecting collaboration to digital media content, such as Web-based syllabi and assignment descriptions. The most significant learning context in most classes is still the face-to-face whole class lecture or discussion. The Classroom 2000 project at Georgia Tech is capturing classroom experiences in multiple media: audio, video, presenter's slides, presenter's whiteboard markings, and students' notes. By connecting the Classroom 2000 captured lectures to a persistent collaboration space, we provide (a) a mechanism for asynchronous collaboration that is anchored in class contexts and (b) a means for treating class activity as persistent learning medium for later comment and collaborative extension. This paper describes a pilot study to create a collaborative discussion space anchored in captured classroom lectures.","Made available in DSpace on 2020-02-19T19:11:37Z (GMT). No. of bitstreams: 1
1-9.pdf: 264775 bytes, checksum: 64cc047fa4f67cdc887079b2a60f9922 (MD5)
  Previous issue date: 1999-12","Abowd, G. D., da Graca Pimentel, M., Kerimbaev, B., Ishiguro, Y., & Guzdial, M. (1999). Anchoring Discussions in Lecture: An Approach to Collaboratively Extending Classroom Digital Media. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4301","https://doi.dx.org/10.22318/cscl1999.1","en","International Society of the Learning Sciences (ISLS)","Anchoring Discussions in Lecture: An Approach to Collaboratively Extending Classroom Digital Media","Papers"
"4c61c8f1-15f9-4bd5-b690-618746b1cbf7","1/4300","Arias, Ernesto G||Eden, Hal||Fischer, Gerhard||Gorman, Andrew||Scharff, Eric","2020-02-19T19:11:38Z","2020-02-18T21:12:04Z","2020-02-19T19:11:38Z","2020-02-18T21:12:04Z","1999-12","This paper is based on the fundamental claim that one of the major roles of new media is not to deliver predigested information to individuals, but to provide the opportunity and resources for social debate and discussion. For most design problems (ranging from urban design to graphics design and software design) that we have studied over many years, the knowledge to understand, frame, and solve these problems does not exist, but is constructed and evolved during the process of solving them, exploiting the power of the ""symmetry of ignorance"" and ""breakdowns."" From this perspective, access to existing information and knowledge (often seen as the major advance of new media) is a very limiting concept. Many social and technological innovations are limited to provide primarily better access, leading to ""consumer"" cultures. Our approach focuses and creates support for lifelong learning activities grounded in informed participation and empowerment, allowing learners to incrementally acquire ownership in problems and contribute actively to their solution.","Made available in DSpace on 2020-02-19T19:11:38Z (GMT). No. of bitstreams: 1
10-25.pdf: 322435 bytes, checksum: 1339ed86ee83230d0caf88dc976a1e72 (MD5)
  Previous issue date: 1999-12","Arias, E. G., Eden, H., Fischer, G., Gorman, A., & Scharff, E. (1999). Beyond Access: Informed Participation and Empowerment. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4302","https://doi.dx.org/10.22318/cscl1999.10","en","International Society of the Learning Sciences (ISLS)","Beyond Access: Informed Participation and Empowerment","Papers"
"e699330c-6f59-4d94-8361-77d3bbce01f8","1/4300","Cameron, Terri||Barrows, Howard S.||Crooks, Steven M.","2020-02-19T19:11:38Z","2020-02-18T21:12:08Z","2020-02-19T19:11:38Z","2020-02-18T21:12:08Z","1999-12","SIU School of Medicine piloted a Distributed Problem-Based Learning (DPBL) project in Spring 1999 to support the authentic PBL method used in the curriculum. The pilot included face-to-face (FTF) tutor group sessions augmented by DPBL in which the group participated from distributed sites.","Made available in DSpace on 2020-02-19T19:11:38Z (GMT). No. of bitstreams: 1
100-112.pdf: 158254 bytes, checksum: d09015711bc6ca0b431e0c2a88146895 (MD5)
  Previous issue date: 1999-12","Cameron, T., Barrows, H. S., & Crooks, S. M. (1999). Distributed Problem-Based Learning at Southern Illinois University School of Medicine. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4303","https://doi.dx.org/10.22318/cscl1999.100","en","International Society of the Learning Sciences (ISLS)","Distributed Problem-Based Learning at Southern Illinois University School of Medicine","Papers"
"73686d16-961b-4ec6-9c02-e20505bc3136","1/4300","Ching, Cynthia Carter","2020-02-19T19:11:38Z","2020-02-18T21:12:08Z","2020-02-19T19:11:38Z","2020-02-18T21:12:08Z","1999-12","When students with varying levels of expertise collaborate on computer-based design projects, different roles for experienced and inexperienced designers often emerge. The goal of this study was to determine if students with different levels of experience, knowledge, and skill in learning through design are aware of these differences; and also if they are aware of how this variation affects their collaborative interactions. Toward this end, sixty-two fourth and fifth-grade designers with varying levels of expertise in design and programming were interviewed following their participation in a 10-week learning through design project. Students were asked to identify differences between experienced and inexperienced designers. Their responses were classified via an emergent coding scheme. Results showed that students were aware of differences not only in requisite skills, but also how these skills contributed to collaborative interactions. Students cited knowledge and interaction differences in relation to visible skills like programming more often than other meta-design skills, such as planning and project monitoring.","Made available in DSpace on 2020-02-19T19:11:38Z (GMT). No. of bitstreams: 1
113-124.pdf: 143731 bytes, checksum: bfd0982d64e0be0d73e328628b041a58 (MD5)
  Previous issue date: 1999-12","Ching, C. C. (1999). It's not just programming: Reflection and the nature of experience in learning through design. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4304","https://doi.dx.org/10.22318/cscl1999.113","en","International Society of the Learning Sciences (ISLS)","It's not just programming: Reflection and the nature of experience in learning through design","Papers"
"98c53fba-86d0-420a-9756-03c0bb36a30c","1/4300","Conrad, William H.||, III||Zaritsky, Raul||Munroe, Michael","2020-02-19T19:11:39Z","2020-02-18T21:12:09Z","2020-02-19T19:11:39Z","2020-02-18T21:12:09Z","1999-12","The Achieving High Academic Standards Project (AHAS) of the Illinois State Board of Education (ISBE) is an ongoing in-service and dissemination project that provides an engaged-learning professional development program for sixth grade teachers using modeling tasks. The project included thirty-eight sixth grade classrooms (approximately 1000 students) in eight public school districts and three private schools throughout Illinois. The classrooms selected are all low SES, high mobility and high special education enrollments. The project provided classrooms with a new computer, pedagogy and technology for model building. The educational goals were selected to achieve the math standards of data collection, representation, and interpretation. Results indicate an actual cost, including a new computer and wiring, of $225 per student participating in the project. Teacher surveys and observation in classroom visits indicate over 80% active use of modeling software by students in modeling energy systems within their schools. Over 70% of teachers report that they will continue using the modeling software beyond the project end. The AHAS Project is a collaboration among the National Computational Science Alliance (NCSA), the North Central Regional Technology in Educational Center (NCRTEC) and the participating school districts. Funding for $0.25 million is from the ISBE. Partial funding and support are also provided by NCRTEC.","Made available in DSpace on 2020-02-19T19:11:39Z (GMT). No. of bitstreams: 1
125-137.pdf: 180119 bytes, checksum: 881cf5a7405dd113f48c09b8957207fe (MD5)
  Previous issue date: 1999-12","Conrad, W. H., , I., Zaritsky, R., & Munroe, M. (1999). Infusing Engaged Learning Strategies and Modeling Software into Sixth Grade Classrooms: The Achieving High Academic Standards Project (AHAS). In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4305","https://doi.dx.org/10.22318/cscl1999.125","en","International Society of the Learning Sciences (ISLS)","Infusing Engaged Learning Strategies and Modeling Software into Sixth Grade Classrooms: The Achieving High Academic Standards Project (AHAS)","Papers"
"2bb241dc-bdc5-4997-a3a6-1b6ecdc6e4cc","1/4300","Cuthbert, Alex J.","2020-02-19T19:11:39Z","2020-02-18T21:12:09Z","2020-02-19T19:11:39Z","2020-02-18T21:12:09Z","1999-12","In this paper, I develop strategies for designing and assessing collaborative learning environments from a knowledge integration perspective. I identify strengths and weaknesses associated with collaborative learning, linking them to the instructional approaches used in an eighth-grade science curriculum where students design a desert house. The house design activity provides a context for connecting instructional goals and technical innovations. Focusing on how students specializing in different areas can share ideas and provide feedback for each other, I show how social and technical supports can work to achieve common goals. I examine two assumptions about how an expanded repertoire of models contributes to knowledge integration. First, I provide evidence that considering more alternatives leads to improved designs only if students have a framework for organizing those alternatives and selecting between them. Then, I provide evidence that encouraging students to iteratively refine their ideas contributes to knowledge integration. Finally, I show how these cognitive goals can be pursued through social and technical innovations which seek to encourage knowledge integration by making thinking visible for students.","Made available in DSpace on 2020-02-19T19:11:39Z (GMT). No. of bitstreams: 1
138-152.pdf: 195167 bytes, checksum: e3a48dfb32b2765745d2b5a5e5088653 (MD5)
  Previous issue date: 1999-12","Cuthbert, A. J. (1999). Designs for collaborative learning environments: Can specialization encourage knowledge integration?. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4306","https://doi.dx.org/10.22318/cscl1999.138","en","International Society of the Learning Sciences (ISLS)","Designs for collaborative learning environments: Can specialization encourage knowledge integration?","Papers"
"b02f5825-dbbf-4d70-92a4-26d963dd98f6","1/4300","Dillenbourg, Pierre J.||Traum, David","2020-02-19T19:11:39Z","2020-02-18T21:12:10Z","2020-02-19T19:11:39Z","2020-02-18T21:12:10Z","1999-12","What is the role of a shared whiteboard in building a shared understanding of the task and its solution? Our hypothesis was that a graphical communication tool would facilitate grounding processes, i.e. the mutual understanding of one or a few utterances and thereby the construction of a shared solution. We conducted an empirical study with 20 pairs solving an enigma in a MUD environment enriched with a whiteboard. The results show that the whiteboard was used less used to disambiguate difficult concepts in conversation than as a tool for distributed regulation of the task. The graphical features of the whiteboard were less exploited thatn the fact that information displayed on the whiteboard was persistent. Subjects selected the communication medium by matching the persistency of display (how long information is displayed) with persistency of information (how long it remains valid). Their grounding behaviour also takes into account the probability that some piece of information probabilty that some piece of infornmation is misundersis misunderstood or disagreed upon.","Made available in DSpace on 2020-02-19T19:11:39Z (GMT). No. of bitstreams: 1
153-166.pdf: 202882 bytes, checksum: 169ca9e0508461cd8e9a1357a5782055 (MD5)
  Previous issue date: 1999-12","Dillenbourg, P. J. & Traum, D. (1999). Does a shared screen make a shared solution. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4307","https://doi.dx.org/10.22318/cscl1999.153","en","International Society of the Learning Sciences (ISLS)","Does a shared screen make a shared solution","Papers"
"07d7f5ae-ab40-43c6-9e24-1daf60faf036","1/4300","Dirckinck-Holmfeld, Lone||Sørensen, Elisebeth K.","2020-02-19T19:11:39Z","2020-02-18T21:12:10Z","2020-02-19T19:11:39Z","2020-02-18T21:12:10Z","1999-12","As an educational approach, Computer Supported Collaborative Learning is often interpreted as a restricted concept concerning shared knowledge acquisition rather than, more broadly, as a holistic process of shared formation and socialization. Several aspects of learning and cases of research, however, indicate that we need to consider the idea of educational processes as processes of socialization, e.g. Jean Lave and Etienne Wenger (1991) who work from a concept of learning as social participation.","Made available in DSpace on 2020-02-19T19:11:39Z (GMT). No. of bitstreams: 1
167-172.pdf: 172788 bytes, checksum: 37497f3bf8b2f799e10b1cdc06d540d1 (MD5)
  Previous issue date: 1999-12","Dirckinck-Holmfeld, L. & Sørensen, E. K. (1999). Distributed Computer Supported Collaborative Learning through Shared Practice and Social Participation. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4308","https://doi.dx.org/10.22318/cscl1999.167","en","International Society of the Learning Sciences (ISLS)","Distributed Computer Supported Collaborative Learning through Shared Practice and Social Participation","Papers"
"4d596774-3791-428f-b327-1f7b7d41c871","1/4300","Dori, Yehudit J.||Barak, Miri","2020-02-19T19:11:40Z","2020-02-18T21:12:11Z","2020-02-19T19:11:40Z","2020-02-18T21:12:11Z","1999-12","Interpretation of symbols, as well as understanding the particulate nature of matter and spatial structures are essential skills students need for solving problems in organic chemistry. However, model perception and understanding the spatial structure of organic molecules has been a source of difficulty for many chemistry students. A computerized molecular modeling (CMM)-based collaborative learning environment has been shown to be an effective means to overcome certain learning difficulties in chemistry.","Made available in DSpace on 2020-02-19T19:11:40Z (GMT). No. of bitstreams: 1
173-185.pdf: 213492 bytes, checksum: 20abdca25fe001dd8e5f4cad46534b6b (MD5)
  Previous issue date: 1999-12","Dori, Y. J. & Barak, M. (1999). Computerized molecular modeling as a collaborative learning environment. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4309","https://doi.dx.org/10.22318/cscl1999.173","en","International Society of the Learning Sciences (ISLS)","Computerized molecular modeling as a collaborative learning environment","Papers"
"c1068d65-fe11-423b-9353-9dd12e713f97","1/4300","Ellis, Jason B.||Bruckman, Amy S.||Satterwhite, Robert C.","2020-02-19T19:11:40Z","2020-02-18T21:12:11Z","2020-02-19T19:11:40Z","2020-02-18T21:12:11Z","1999-12","Oral history projects provide a way for students to learn history by engaging with elders sharing stories relevant to their experience. However, these kinds of projects require a large amount of effort to undertake. We believe computing technology can help. Here, we examine the role of existing technology in allowing kids and elders to share historical stories. We present the results of two pilot studies. Lessons learned for CSCL system design and classroom implementation are presented, along with future directions.","Made available in DSpace on 2020-02-19T19:11:40Z (GMT). No. of bitstreams: 1
186-193.pdf: 172229 bytes, checksum: a0fead36dfa5e8f9392d4a34942bca08 (MD5)
  Previous issue date: 1999-12","Ellis, J. B., Bruckman, A. S., & Satterwhite, R. C. (1999). Children and Elders Sharing Stories: Lessons from Two Online Oral History Projects. In Hoadley, C. M. & Roschelle, J. (Eds.), Proceedings of the Computer Support for Collaborative Learning (CSCL) 1999 Conference. Palo Alto, CA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/4310","https://doi.dx.org/10.22318/cscl1999.186","en","International Society of the Learning Sciences (ISLS)","Children and Elders Sharing Stories: Lessons from Two Online Oral History Projects","Papers"
