id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.abstract[en_US],dc.type[en_US]
4eef560d-f751-4f91-80b6-cc02c0ca44f6,1/3768,"Arnseth, Hans Christian||Solheim, Ivar",2020-01-09T20:02:02Z,2019-07-21T00:01:38Z,2020-01-09T20:02:02Z,2019-07-21T00:01:38Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:02Z (GMT). No. of bitstreams: 1
102-110.pdf: 220782 bytes, checksum: e63b6b828cafcc7bde52419ec0e214c4 (MD5)
  Previous issue date: 2002-01","Arnseth, H. C. & Solheim, I. (2002). Making Sense of Shared Knowledge. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 102-110). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3769,https://doi.dx.org/10.22318/cscl2002.102,en,International Society of the Learning Sciences (ISLS),Making Sense of Shared Knowledge,"In this paper we explore issues to do with intersubjectivity and shared knowledge in human activity. We discuss these issues by contrasting two different views of language and communication, one being a model developed by Clark and Brennan, the other being a situated action approach. Clark and Brennan’s model has gained substantial popularity in CSCL research. We develop our argument by presenting illustrative analyses of two data extracts concerned with the development of shared knowledge, the negotiation of goals and the conditional relevance of technological tools. We conclude that Clark and Brennan’s model retains a communication-as-transfer view of language and communication, and that a situated action approach is more suitable for grasping the complex dynamics of joint activity.",Long Papers
d38ae5be-ab2b-46d3-a5de-4e025216e8b7,1/3768,"Laffey, James M.||Musser, Dale R.||Espinosa, Linda||Remidez, Herbert||Gottdenker, Joshua S.||Hong, Ran-Young||Amelung, Chris",2020-01-09T20:02:03Z,2019-07-21T00:01:39Z,2020-01-09T20:02:03Z,2019-07-21T00:01:39Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:03Z (GMT). No. of bitstreams: 1
111-118.pdf: 258095 bytes, checksum: ba5fc0c9f371990c81da27cd2c5f26f2 (MD5)
  Previous issue date: 2002-01","Laffey, J. M., Musser, D. R., Espinosa, L., Remidez, H., Gottdenker, J. S., Hong, R., & Amelung, C. (2002). CSCL for Schools that Learn. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 111-118). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3770,https://doi.dx.org/10.22318/cscl2002.111,en,International Society of the Learning Sciences (ISLS),CSCL for Schools that Learn,"Learning communities and organizations are being recognized both as a mechanism for bringing learning about and as an explanation of what learning takes place. Systems that support learning in context and collaborative learning are increasingly being used to support performance and learning for school reform and business productivity. Similarly, many of the performance and learning outcomes that we care the most about, e.g., higher order thinking, problem solving, communication competencies, are understood as developing in the authentic activity of a community, such as a profession, a trade, or an academic discipline. Computer Supported Collaborative Learning (CSCL) is a method for bringing the power of technology to support collaborative and contextual learning. This article argues that CSCL can be a framework for school reform, not just as a method of curriculum implementation, but also as a framework for enterprise-wide, process change. The article will also illustrate how cscl-type systems can facilitate schools becoming learning organizations, not just organizations that support learning.",Long Papers
d6bd8fae-1b2b-4cd2-9c26-bb986d447195,1/3768,"Bruckman, Amy||Jensen, Carlos||DeBonte, Austina",2020-01-09T20:02:03Z,2019-07-21T00:01:39Z,2020-01-09T20:02:03Z,2019-07-21T00:01:39Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:03Z (GMT). No. of bitstreams: 1
119-127.pdf: 216350 bytes, checksum: 42d41b7458fb5633715ca27038b5f8da (MD5)
  Previous issue date: 2002-01","Bruckman, A., Jensen, C., & DeBonte, A. (2002). Gender and Programming Achievement in a CSCL Environment. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 119-127). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3771,https://doi.dx.org/10.22318/cscl2002.119,en,International Society of the Learning Sciences (ISLS),Gender and Programming Achievement in a CSCL Environment,"In this study, we analyzed 3.4 GB of log file data from the participation of 475 children in a CSCL environment over a period of five years. Using scripts to divide the children’s commands typed into categories, we found that girls spend significantly more time than boys communicating with others in the CSCL environment. Analyzing the children’s level of programming achievement, we found that gender does not affect programming performance. Regression analysis shows that performance is correlated with prior programming experience and time on task. Boys are more likely than girls to have prior programming experience, and spend more time programming on average. We contrast these quantitative findings with our qualitative observations, and conclude that quantitative analysis has an important role to play in CSCL research. These results suggest that educators wishing to increase gender equity in technical skill should focus on strategies for fostering interest among girls.",Long Papers
894d3062-5146-4557-8d66-67c4da14ddc0,1/3768,"Soller, Amy||Wiebe, Janyce||Lesgold, Alan",2020-01-09T20:02:03Z,2019-07-21T00:01:40Z,2020-01-09T20:02:03Z,2019-07-21T00:01:40Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:03Z (GMT). No. of bitstreams: 1
128-137.pdf: 281625 bytes, checksum: fe642c6c76583441e49848c6debc6e52 (MD5)
  Previous issue date: 2002-01","Soller, A., Wiebe, J., & Lesgold, A. (2002). A Machine Learning Approach to Assessing Knowledge Sharing During Collaborative Learning Activities. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 128-137). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3772,https://doi.dx.org/10.22318/cscl2002.128,en,International Society of the Learning Sciences (ISLS),A Machine Learning Approach to Assessing Knowledge Sharing During Collaborative Learning Activities,"Students bring to a collaborative learning situation a great deal of specialized knowledge and experiences that undoubtedly shape the collaboration and learning processes. How effectively this unique knowledge is shared and assimilated by the group affects both the process and the product of the collaboration. In this paper, we describe a machine learning approach, Hidden Markov Modeling, to analyzing and assessing on-line knowledge sharing conversations. We show that this approach can determine the effectiveness of knowledge sharing episodes with 93% accuracy, performing 43% over the baseline. Understanding how members of collaborative learning groups share, assimilate, and build knowledge together may help us identify situations in which facilitation may increase the effectiveness of the group interaction.",Long Papers
a7c67ae7-1948-4d7c-8eeb-629f15683321,1/3768,"Yamaguchi, Ryoko||Bos, Nathan||Olson, Judy",2020-01-09T20:02:04Z,2019-07-21T00:01:40Z,2020-01-09T20:02:04Z,2019-07-21T00:01:40Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:04Z (GMT). No. of bitstreams: 1
138-143.pdf: 177605 bytes, checksum: 36db3754dab37a4abdc97daef8c087d0 (MD5)
  Previous issue date: 2002-01","Yamaguchi, R., Bos, N., & Olson, J. (2002). Emergent Leadership in Small Groups Using Computer-Mediated Communication. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 138-143). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3773,https://doi.dx.org/10.22318/cscl2002.138,en,International Society of the Learning Sciences (ISLS),Emergent Leadership in Small Groups Using Computer-Mediated Communication,"When small groups meet online, the communication channel they use may affect the emergent leadership styles that individuals attempt. We studied 66 three-person groups playing a social dilemma game and communicating via one of four channels: face-to-face, videoconference, audio conference, or Internet chatroom. We found that the narrower the channel, the less likely groups were to use relationship-focused leadership styles. We also found that for mixed-gender groups, lower levels of relationship-focused leadership led to poorer group performance on the cooperation task. The more autocratic task-focused leadership style was not inhibited by communication channel. Additional results are also given linking gender composition to choice of leadership style. The statistical technique used in this research, Hierarchical Linear Modeling is particularly useful for studying group work, and so is explained in some detail.",Long Papers
081e5e50-dbc1-4414-827c-4998d9733c4a,1/3768,"Bekerman, Zvi||Horenczyk, Gabriel",2020-01-09T20:02:04Z,2019-07-21T00:01:41Z,2020-01-09T20:02:04Z,2019-07-21T00:01:41Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:04Z (GMT). No. of bitstreams: 1
144-150.pdf: 152811 bytes, checksum: b33ff2402fca611fd3c1e1806f532b71 (MD5)
  Previous issue date: 2002-01","Bekerman, Z. & Horenczyk, G. (2002). Golem, from Prague to Cyberspace: The Use of CSCL in Cultural Education for Diasporas. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 144-150). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3774,https://doi.dx.org/10.22318/cscl2002.144,en,International Society of the Learning Sciences (ISLS),"Golem, from Prague to Cyberspace: The Use of CSCL in Cultural Education for Diasporas","In this paper we describe and theorize about a computer‐supported and mediated educational research project which encourages cultural production and sustainability. We first describe the CD‐Golem project which was developed in light of the perceived needs of a Diaspora community's attempts to impart its youth with a sense of belonging and continuity. Next we characterize Cultural Education and discuss the theoretical rationale of our approach in the context of current theories of identity and cultural construction, multicultural education and computer‐supported collaborative learning. We conclude by reviewing briefly and evaluating critically some of the lessons we have learned in our first years of activity.",Long Papers
cdf29ae9-b67f-4953-b4b3-ddb69fe53022,1/3768,"Armitt, Gillian||Slack, Frances||Green, Sharon||Beer, Martin",2020-01-09T20:02:04Z,2019-07-21T00:01:41Z,2020-01-09T20:02:04Z,2019-07-21T00:01:41Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:04Z (GMT). No. of bitstreams: 1
151-159.pdf: 207344 bytes, checksum: 2858f361005f46b78408a1d32230e81f (MD5)
  Previous issue date: 2002-01","Armitt, G., Slack, F., Green, S., & Beer, M. (2002). The Development of Deep Learning During a Synchronous Collaborative On-line Course. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 151-159). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3775,https://doi.dx.org/10.22318/cscl2002.151,en,International Society of the Learning Sciences (ISLS),The Development of Deep Learning During a Synchronous Collaborative On-line Course,"As Internet bandwidth improves and connections become more reliable, on-line course designers will be encouraged to make more structured use of synchronous communications. Little work has so far been reported on how to make the best use of synchronous communications to support a problem solving approach. The OTIS pilot course made extensive use of synchronous communication to support learning through case studies in occupational therapy. The transcripts of communication sessions have been analysed using the SOLO taxonomy, to study the development of deep learning week by week. Results show that synchronous peer-to-peer working meetings have an important role to play in the development of deep learning.",Long Papers
05c5e0c2-b8e6-4a3e-995b-5da6500eb3de,1/3768,"Lally, Vic||de Laat, Maarten",2020-01-09T20:02:05Z,2019-07-21T00:01:42Z,2020-01-09T20:02:05Z,2019-07-21T00:01:42Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:05Z (GMT). No. of bitstreams: 1
160-168.pdf: 223092 bytes, checksum: e880e442fd4affd9456286ba3e2398b7 (MD5)
  Previous issue date: 2002-01","Lally, V. & de Laat, M. (2002). Cracking the Code: Learning to Collaborate and Collaborating to Learn in a Networked Environment. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 160-168). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3776,https://doi.dx.org/10.22318/cscl2002.160,en,International Society of the Learning Sciences (ISLS),Cracking the Code: Learning to Collaborate and Collaborating to Learn in a Networked Environment,"This paper is based on the central idea that networked teaching may best be improved by those engaged in it. Systematic enquiry into educational interactions can yield understandings and insights about one of the fundamental relationships of all educational endeavours: between teaching and learning. The paper explores this relationship through analyses of teaching and learning in a networked collaborative learning environment using two new content analysis schemas. The first of these probes the social co-construction of knowledge in a collaborative online event by analysing the social, cognitive and metacognitive contributions to an online learning event. In the second schema the presence of teacher processes is investigated. Computer assisted qualitative data analysis is used for this. In conclusion, consideration is given to the prospects for this type of approach as a means of enriching understandings of the complexity of the relationship between teaching and learning in networked collaborative learning environments.",Long Papers
85bb4fa1-8255-4719-a5a8-b7321e88cae7,1/3768,"Halloran, John||Rogers, Yvonne||Scaife, Mike",2020-01-09T20:02:05Z,2019-07-21T00:01:42Z,2020-01-09T20:02:05Z,2019-07-21T00:01:42Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:05Z (GMT). No. of bitstreams: 1
169-178.pdf: 641404 bytes, checksum: ee635361db2ec52211471ef8db20f4b7 (MD5)
  Previous issue date: 2002-01","Halloran, J., Rogers, Y., & Scaife, M. (2002). Taking The ‘No’ Out of Lotus Notes: Activity Theory, Groupware, and Student Groupwork. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 169-178). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3777,https://doi.dx.org/10.22318/cscl2002.169,en,International Society of the Learning Sciences (ISLS),"Taking The ‘No’ Out of Lotus Notes: Activity Theory, Groupware, and Student Groupwork","This paper describes a study that examined why groupware that was tailored to support collaborative student learning (Lotus Notes) was unsuccessful. In particular, it examines why the tutors’ aspirations of helping the students to collaborate were not met. It was found that students tended not to use the groupware, preferring other, self-developed support tools. Our study shows that the failure was multidetermined: there was a complex interacting set of factors including software use problems, systems integration issues, conflicting tutor/student perceptions of the value of using the groupware, and conflicts in each group’s view of how best to complete the course. There has been interest in using Activity Theory to approach multidimensional analysis in CSCL, but existing Activity Theory-based frameworks can be difficult to apply to instances of collaborative learning marked by conflict. To address this need, we use an Activity Theory-based analytic tool called the Activity Space. The tool is also used to show how multiple changes could be made to improve the potential for groupware to be used as intended.",Long Papers
94b51eab-0fb7-42e8-8121-4920f08c9cd5,1/3768,"Hedestig, Ulf||Kaptelinin, Victor",2020-01-09T20:02:05Z,2019-07-21T00:01:43Z,2020-01-09T20:02:05Z,2019-07-21T00:01:43Z,2002-01,"Made available in DSpace on 2020-01-09T20:02:05Z (GMT). No. of bitstreams: 1
179-188.pdf: 236090 bytes, checksum: 7dbe043f4165370288e31e9d93dc0223 (MD5)
  Previous issue date: 2002-01","Hedestig, U. & Kaptelinin, V. (2002). Re-contextualization of Teaching and Learning in Videoconference-based Environments: An Empirical Study. In Stahl, G. (Eds.), Computer Support for Collaborative Learning: Foundations for a CSCL Community (pp. 179-188). Boulder, CO, USA: International Society of the Learning Sciences.",https://repository.isls.org//handle/1/3778,https://doi.dx.org/10.22318/cscl2002.179,en,International Society of the Learning Sciences (ISLS),Re-contextualization of Teaching and Learning in Videoconference-based Environments: An Empirical Study,"The paper reports an empirical study of the use of videoconferences in decentralized university education. The study focuses on breakdowns that occur during the transition of educational practices from regular classrooms to videoconference-based environments. It was found that the main cause of breakdowns was discoordinations of teaching and learning resulting from physical and organizational distribution of decentralized education. The paper concludes that implementation of educational activities in new types of learning environments requires both downwards contextualization, an adaptation to the limitations and affordances of the environment, and upwards contextualization, locating the activity in a larger-scale context.",Long Papers
