id,dc.contributor.author[],dc.title[en_US],dc.abstract[en_US],dc.format.extent[],dc.type[en_US],dc.identifier.uri[]
5307836,"Allert, Heidrun||Richter, Christoph||Nejdl, Wolfgang",Extending the Scope of the Current Discussion on Metadata Towards Situated Models,The use of standardized metadata for describing educational resources is one of the ongoing issues in the field of computer-supported learning. While we face an extension from describing learning objects to the annotation of learning services current standards for educational metadata still focus on instructionalism at the cost of neglecting collaborative and cooperative aspects of learning. Therefore it becomes important to rethink the concepts underlying current standards of educational metadata. In this paper we propose a data model that allows to describe resources that might be used for learning purposes with respect to diverse learning theories including those which are relevant in the field of CSCL.,pp. 353-362,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AllertRN03
5307837,"Allmendinger, Katrin||Troitzsch, H.||Hesse, Friedrich W.||Spada, Hans",Nonverbal Signs in Virtual Environments,"Some nonverbal signals, like gestures, are not available in computer-supported communication based on audio and textual messages. Therefore computer-supported collaborative learning (CSCL) is subjected to restrictions concerning the process of communication. The effects of nonverbal signs and their relevance in collaborative virtual environments are reported. An experimental study was performed to investigate the effects of the availability of nonverbal signs on the communication process, performance measures and subjective ratings regarding the 3D virtual environment and the communication. Differences concerning objective communication variables, such as number of interruptions, did not reach the level of statistical significance. Providing nonverbal signs in collaborative virtual environments, however, leads to higher motivation and a smoother communication process. The results are discussed with regard to CSCL applications.",pp. 431-440,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AllmendingerTHS03
5307838,"Amelsvoort, Marije van||Andriessen, Jerry",Comparing Graphical and Textual Preparation Tools for Collaborative Argumentation-Based Learning,"In our research, part of a European project named SCALE1 , we study the effects of graphical and textual preparation tools on the quality of interaction in computer-supported collaborative argumentation-based learning. Students in upper secondary education had to discuss a topic in pairs, and write a collaborative argumentative text in an electronic environment. This was preceded by an individual phase in which students read information, and represented their individual opinion on the topic either in a text or in a diagram. These individual products were available for inspection during the collaborative phase. We study the way students broaden and deepen the space of debate on this topic.",pp. 5-9,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AmelsvoortA03
5307839,"Anderson, Richard J.||Anderson, Ruth E.||VanDeGrift, Tammy||Wolfman, Steven A.||Yasuhara, Ken",Promoting Interaction in Large Classes with Computer-Mediated Feedback,"Eliciting student participation in large college classes is notoriously difficult yet critical to learning. This paper describes a design experiment with a computer-mediated feedback system for promoting class interaction called the Classroom Feedback System (CFS). We delineate specific challenges to interaction and propose design principles to address them. CFS realizes these principles and establishes a computer-mediated channel for student-initiated feedback. Students position preset annotations (e.g., MORE EXPLANATION, GOT IT) directly on the lecture slides. CFS anonymizes the annotations and presents them to the instructor in real time. Successive experiments with paper and electronic prototypes validated our design and guided iterative refinement. Evidence from a large lecture study using the feedback system suggests that CFS increases levels of student-instructor interaction and addresses specific challenges to interaction.",pp. 119-123,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AndersonAVWY03
5307840,"Ayala, Gerardo",Towards Lifelong Learning Environments: Agents Supporting the Collaborative Construction of Knowledge in Virtual Communities,"In this paper we present a framework for collaborative environments that support lifelong learning based on agent technologies, according to the requirements for these environments. We define a lifelong learning environment as an Internet based environment that supports self-directed, generative and intentional learning, where software elements assist the learner in planning her/his learning activities, in order to meet changing society demands, supporting her/him to collaborate in the social construction of knowledge in a virtual community. We discuss the design and implementation of CAS SIEL, a prototype of a lifelong learning environment developed based on the theory of knowledge creation by Nonaka and Takeuchi (Nonaka, 95). We present how this theory of knowledge creation in learning organizations, from the area of knowledge management, is suitable for constructing virtual communities of practice. We present how software agents support the diverse types of awareness required and allows the social construction of knowledge, based on a theory of knowledge management, proposing the design issues for lifelong learning environments on the Internet.",pp. 141-149,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Ayala03
5307841,"Baggetun, Rune||Dragsnes, Steinar",Designing Pedagogical Agents for CSCL,"This paper presents an approach to incorporating agent software technology in our developed, shared collaborative Mindmap software. We start by discussing our theoretical influences, before we describe our approach to designing and implementing the agent into the Mindmap. Then we present some of the most interesting findings derived from a formative usability test of an agent prototype. This test was conducted to investigate how the agent impacted on students working together to solve a joint problem. The findings gave us some useful feedback about how agents can support distributed collaborative learning, and also some suggestions for future work.",pp. 151-155,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BaggetunD03
5307842,"Baker, Michael J.||Quignard, Matthieu||Lund, Kristine||Séjourné, Arnauld",Computer-Supported Collaborative Learning in the Space of Debate,"Cutting across the common distinction between learning to argue and arguing to learn, this research is concerned with arguing to learn argumentative knowledge, or broadening and deepening understanding of the space of debate. A secondary school experiment compared broadening/deepening of understanding of the space of a debate on genetically modified organisms, using either a CHAT tool, or else an argument-diagram tool (DREW: Dialogical Reasoning Educational Web tool) that was designed as a medium for interactive debate. Although there was no significant difference between the quality of students’ texts before and after debating across the conditions, a new interaction analysis method (“Rainbow”) revealed differences in students’ expression and elaboration of arguments.",pp. 11-20,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BakerQLS03
5307843,"Basu, Anindita||Cavallo, David",Full-Contact Poetry,"Full-Contact Poetry is a collaborative digital play space written in Squeak, which allows children to express their poetic thoughts, create their interpretations of writing by others and share and critique these expressions. In this paper, we discuss the design principles and implementation of the Full-Contact Poetry environment. We then describe preliminary results from a workshop with a group of adolescents using the environment. The technology opened a new form of expression to the teenagers participating in the workshop. Collaboration was necessary to define full-contact poetry, but did not occur in the way expected with the technology. Participants drew from personal experience and examples to create a new genre of poetic expression.",pp. 281-285,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BasuC03
5307844,"Beck, Robert J.||Fitzgerald, William J.||Pauksztat, B.",Individual Behaviors and Social Structure in the Development of Communication Networks of Self-Organizing Online Discussion Groups,"Four preservice teachers’ online discussion groups of eight randomly assigned participants each were studied to analyze the contribution of individual and social factors in the development of communication networks. Participants shared observations and follow-up responses in five weekly rounds of data collection. Using a core-periphery social network analysis model, distinctive core and periphery sub-groups were found in each of the four listservs. As measured through quality assessments of individual observational messages, mean quality was higher in each of the core groups, but results were statistically non-significant. An asymmetric hypothesis, that periphery members sent more messages to the core than vice versa, was supported by data in three groups. Early submission of observations was highly correlated with number of messages received. Fitting the core-periphery model to data from three cumulative time periods, T1, T3, and T5, for each listserv, allowed us to check for consistency in group dynamics over time. For each listserv, it was found that the communications data progressively achieved a better fit with a core-periphery model.",pp. 313-322,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BeckFP03
5307845,"Beuschel, Werner",From Face-to-Face to Virtual Space,"While issues of formal communication for day-to-day learning tasks have been well investigated, the need for informal communication and its proper support by learning environments has been undervalued in instructional and technical design. Starting from constructivist theory, the paper expands the background for informal aspects towards the concepts of self-organization and awareness in learning processes. The discussion ponders the apparent paradox of spontaneous action versus preconceived infrastructure and suggests some constructive guidelines.",pp. 229-238,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Beuschel03
