id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.type[en_US]
"2eda2dcb-8343-432c-85eb-b4513b41c17b","1/2927","Wegerif, Rupert||McLaren, Bruce||Chamrada, Marian||Scheuer, Oliver||Mansour, Nasser||Mikšátko, Jan","2020-01-09T16:06:04Z","2019-05-25T17:18:01Z","2020-01-09T16:06:04Z","2019-05-25T17:18:01Z","2009-06","Many approaches to analyzing online argumentation focus on explicit reasoning and overlook the creative emergence of new ideas. The value of a dialogic analytic framework including creative emergence was tested through applying it to the coding and analysis of undergraduate synchronous e-discussions using a graphical interface within the EU funded project ARGUNAUT. Qualitative analysis found that critical reasoning functioned to `deepen' the graph through unpacking assumptions whilst creative emergence of new perspectives produced `widening' moves. This distinction between deepening and widening was successfully used as the basis for an artificial intelligence (AI) graph-matching algorithm. Given examples of deepening and widening from real e-discussions, the AI algorithm was able to successfully find other occurrences of such moves within new e-discussions. This supports our claim to distinguish between these two aspects of shared thinking and has the potential to provide awareness indicators as a support for e-moderation.","Made available in DSpace on 2020-01-09T16:06:04Z (GMT). No. of bitstreams: 1
108-112.pdf: 266006 bytes, checksum: d44a1b28bdf259246c45aefe73d7e132 (MD5)
  Previous issue date: 2009-06","Wegerif, R., McLaren, B., Chamrada, M., Scheuer, O., Mansour, N., & Mikšátko, J. (2009). Recognizing creative thinking in graphical e-discussions using artificial intelligence graph-matching techniques. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 108-112). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2928","https://doi.dx.org/10.22318/cscl2009.1.108","en","International Society of the Learning Sciences (ISLS)","Recognizing creative thinking in graphical e-discussions using artificial intelligence graph-matching techniques","Papers"
"0971b226-3a10-42dc-a5ae-4f8c27e94cbc","1/2927","Yeo, Jennifer||Lee, Yew-Jin||Tan, Aik-Ling||Tan, Seng-Chee||Lum, Shawn","2020-01-09T16:06:05Z","2019-05-25T17:18:02Z","2020-01-09T16:06:05Z","2019-05-25T17:18:02Z","2009-06","Research on argumentation has increased our understanding of knowledge construction, group learning, and scaffolding structures in CSCL although analyses of argumentation pose many difficulties. This could be due to the many theoretical positions that can be taken when approaching discourse data. In this paper, we use three popular analytic methods (interactional, content-specific, and linguistic) to compare the same fragment of scientific argumentation by Grade 4 children in Singapore. We show the complementary emphases and strengths of each disciplinary position as well as their weaknesses. The results imply that analytic methods arising from different disciplinary positions can potentially broaden our overall understanding of using argumentation in CSCL.","Made available in DSpace on 2020-01-09T16:06:05Z (GMT). No. of bitstreams: 1
113-117.pdf: 178615 bytes, checksum: b2463fc84b62397a734b99502897e2aa (MD5)
  Previous issue date: 2009-06","Yeo, J., Lee, Y., Tan, A., Tan, S., & Lum, S. (2009). Analyzing CSCL-mediated science argumentation: How different methods matter. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 113-117). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2929","https://doi.dx.org/10.22318/cscl2009.1.113","en","International Society of the Learning Sciences (ISLS)","Analyzing CSCL-mediated science argumentation: How different methods matter","Papers"
"67c65d6a-d5d8-49b1-87e0-a6d0a997aa62","1/2927","Zemel, Alan||Cakir, Murat||Zhou, Nan||Stahl, Gerry","2020-01-09T16:06:05Z","2019-05-25T17:18:04Z","2020-01-09T16:06:05Z","2019-05-25T17:18:04Z","2009-06","Despite the definitional difficulties associated with learning and instruction, they evidently occur as social realities for those involved in the practical, day-to-day work of learning and instructing. In this paper we offer an interactional perspective of learning and instruction by relying on the commonsense recognizability of learning to investigate what participants themselves do to achieve and recognize learning's work.","Made available in DSpace on 2020-01-09T16:06:05Z (GMT). No. of bitstreams: 1
118-122.pdf: 369839 bytes, checksum: 0fc7404220dba80b5655b23232345313 (MD5)
  Previous issue date: 2009-06","Zemel, A., Cakir, M., Zhou, N., & Stahl, G. (2009). I.2.10 Learning as a practical achievement: An interactional perspective. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 118-122). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2930","https://doi.dx.org/10.22318/cscl2009.1.118","en","International Society of the Learning Sciences (ISLS)","I.2.10 Learning as a practical achievement: An interactional perspective","Papers"
"ca82f027-9dfa-47c2-b4f1-05bef678e700","1/2927","Anjewierden, Anjo||Gijlers, Hannie||Kolloffel, Bas||Saab, Nadira||de Hoog, Robert","2020-01-09T16:06:06Z","2019-05-25T17:18:05Z","2020-01-09T16:06:06Z","2019-05-25T17:18:05Z","2009-06","Research has suggested that providing elaborated explanations is often more beneficial for learning than receiving explanations (e.g., Webb, 1989). Applied to chat communication in a collaborate inquiry learning environment, we would expect that in a dyad the learner with more domain-related contributions than his partner would learn more. In the paper we develop a method to examine the relation between domain-related chats and learning outcome for intuitive knowledge. We describe how we automatically extract domain-related messages, and score them based on the expected cognitive effort to produce the messages. The analysis confirms that there is a positive relation between a high score on domain-related chats and the learning improvement as measured by the difference between a post-test and a pre-test on intuitive knowledge.","Made available in DSpace on 2020-01-09T16:06:06Z (GMT). No. of bitstreams: 1
123-131.pdf: 274959 bytes, checksum: 7e0db79a15816fa71b1ac8bb0f30a91b (MD5)
  Previous issue date: 2009-06","Anjewierden, A., Gijlers, H., Kolloffel, B., Saab, N., & de Hoog, R. (2009). Examining the relation between domain-related communication and collaborative inquiry learning. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 123-131). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2931","https://doi.dx.org/10.22318/cscl2009.1.123","en","International Society of the Learning Sciences (ISLS)","Examining the relation between domain-related communication and collaborative inquiry learning","Papers"
"bcdc8731-55dd-498d-ab82-aa07ba7c0770","1/2927","Heo, Gyeong Mi||Breuleux, Alain","2020-01-09T16:06:06Z","2019-05-25T17:17:40Z","2020-01-09T16:06:06Z","2019-05-25T17:17:40Z","2009-06","We present a study exploring learning in an informal online community (OC) for foodservice professionals according to three planes (i.e., community, interpersonal, and individual planes). Among these planes, this paper focuses on the interpersonal plane (i.e., how do participants interact with each other and what do they share through their interactions?) and highlight the importance of initiators' roles and the subsequent interaction patterns. To investigate interaction and learning processes, we collected 227 discussion threads posted in the year 2006, analyzed them through a multi-layered analysis approach, and graphically presented the results to show the complex components of interactions at a glance. Finally, we discuss the characteristics of interaction and learning processes in this OC and the relationship between initiators roles and interaction patterns.","Made available in DSpace on 2020-01-09T16:06:06Z (GMT). No. of bitstreams: 1
13-17.pdf: 187990 bytes, checksum: abad7307fcb2f5d4f15940c2e6a796bf (MD5)
  Previous issue date: 2009-06","Heo, G. M. & Breuleux, A. (2009). Roles of initiators and interaction patterns: Exploring an informal online community at the interpersonal plane. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 13-17). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2932","https://doi.dx.org/10.22318/cscl2009.1.13","en","International Society of the Learning Sciences (ISLS)","Roles of initiators and interaction patterns: Exploring an informal online community at the interpersonal plane","Papers"
"28754f6e-49b7-4a3b-a098-30be1afa4cb1","1/2927","Asterhan, Christa||Eisenmann, Tammy","2020-01-09T16:06:06Z","2019-05-25T17:18:06Z","2020-01-09T16:06:06Z","2019-05-25T17:18:06Z","2009-06","Even though the advantages of online discussions over face-to-face discussion formats has been extensively reported and investigated, the blending of online discussion tools in co-located classroom settings has been considered with far less intensity. In this paper, we report on secondary school students' experiences and preferences concerning two different discussion formats in co-located classroom settings, namely face-to-face (F2F) and synchronous, computer-mediated communication (CMC). In addition, we also differentiate between students that are known to be active participants in F2F classroom discussions and those who usually remain silent. The findings highlight several advantages of CMC over F2F discussions in co-located settings and show that different students ('active' and 'silent') experience F2F and computer-mediated communication differently.","Made available in DSpace on 2020-01-09T16:06:06Z (GMT). No. of bitstreams: 1
132-136.pdf: 175025 bytes, checksum: c5b07a0e1388f60348eda491e2c5c1fe (MD5)
  Previous issue date: 2009-06","Asterhan, C. & Eisenmann, T. (2009). Online and face-to-face discussions in the classroom: A study on the experiences of ‘active’ and ‘silent’ students.. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 132-136). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2933","https://doi.dx.org/10.22318/cscl2009.1.132","en","International Society of the Learning Sciences (ISLS)","Online and face-to-face discussions in the classroom: A study on the experiences of ‘active’ and ‘silent’ students.","Papers"
"80bc0ccb-6d2c-4c59-beb7-c44a7b9244e6","1/2927","Ertl, Bernhard","2020-01-09T16:06:07Z","2019-05-25T17:18:07Z","2020-01-09T16:06:07Z","2019-05-25T17:18:07Z","2009-06","This paper focuses on learners' knowledge construction in computer supported collaborative learning. It investigates how far individual knowledge (prior knowledge), collaborative knowledge (the quality of collaborative knowledge construction), and instructional support may contribute to the outcomes of learners' knowledge construction. It analyzes predictors for learners' learning outcomes with respect to procedural knowledge (successful application of rules for case-solving) and conceptual knowledge (cued answer of theory concepts) under consideration of learners' knowledge about theory definitions. To find answers to this issue, results of two studies are presented. They show that predicting factors for learners' construction of conceptual knowledge lie mainly in the individual while procedural knowledge benefits of collaborative knowledge construction.","Made available in DSpace on 2020-01-09T16:06:07Z (GMT). No. of bitstreams: 1
137-141.pdf: 215291 bytes, checksum: 7e16234811dc509f26adc290110c0c66 (MD5)
  Previous issue date: 2009-06","Ertl, B. (2009). Conceptual and procedural knowledge construction in computer supported collaborative learning. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 137-141). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2934","https://doi.dx.org/10.22318/cscl2009.1.137","en","International Society of the Learning Sciences (ISLS)","Conceptual and procedural knowledge construction in computer supported collaborative learning","Papers"
"9a512a57-46f7-495c-8298-fc6a0c192286","1/2927","Hong, Huang-Yao||Chen, Fei-Ching||Chang, Hsiu-mei||Liao, Calvin C. Y.||Chan, Wen-Ching","2020-01-09T16:06:07Z","2019-05-25T17:18:09Z","2020-01-09T16:06:07Z","2019-05-25T17:18:09Z","2009-06","This paper compares the effectiveness of two multimedia environments-- Blackboard Learning SystemTM and Knowledge ForumTM--in terms of their underlying design approaches to support collaborative learning and knowledge work. The two design approaches are (1) a conventional theme-based approach, i.e., to center group collaboration and meaning interaction around themes, and (2) an idea-centered approach, i.e., to center group collaboration and meaning interaction around sustained idea exchange and improvement. Findings suggest that an idea-centered design approach seems more likely to construct an environment that fosters more dynamic group and meaning interactions, thus enabling more sustained collaborative learning and knowledge building.","Made available in DSpace on 2020-01-09T16:06:07Z (GMT). No. of bitstreams: 1
142-150.pdf: 686345 bytes, checksum: 8273e0c7b265853f686947b9de386222 (MD5)
  Previous issue date: 2009-06","Hong, H., Chen, F., Chang, H., Liao, C. C., & Chan, W. (2009). Exploring the effectiveness of an idea-centered design to foster a computersupported knowledge building environment. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 142-150). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2935","https://doi.dx.org/10.22318/cscl2009.1.142","en","International Society of the Learning Sciences (ISLS)","Exploring the effectiveness of an idea-centered design to foster a computersupported knowledge building environment","Papers"
"6773d6a3-8925-48d5-81cc-5d22bea8ebbd","1/2927","Kopp, Birgitta||Schnurer, Katharina||Mandl, Heinz","2020-01-09T16:06:07Z","2019-05-25T17:18:10Z","2020-01-09T16:06:07Z","2019-05-25T17:18:10Z","2009-06","This paper focuses on the analysis of a virtual seminar in respect to learning processes and learning outcomes of its participants who collaborated over a four month period. To investigate the learning processes in this field study, we analyzed the learners' contributions according to four main learning processes: epistemic activities, construction of a conceptual space, dissemination of shared knowledge, and conflict-orientation. To investigate the learning outcome, we analyzed the joint task solutions with respect to knowledge acquisition and knowledge application. Learners were assigned to three groups who had to solve four tasks relating to the main topics on knowledge management. Results show that learning processes varied depending on the tasks and groups, but no general trend was found. Furthermore, the four task solutions also differed in their quality. The fact that learning processes were related to group products confirms the relevance of learning processes for acquiring and applying knowledge.","Made available in DSpace on 2020-01-09T16:06:07Z (GMT). No. of bitstreams: 1
151-160.pdf: 269818 bytes, checksum: a3186de890fb50a5670a044dbd0ddc7a (MD5)
  Previous issue date: 2009-06","Kopp, B., Schnurer, K., & Mandl, H. (2009). Collaborative learning in virtual seminars: Analyzing learning processes and learning outcomes. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 151-160). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2936","https://doi.dx.org/10.22318/cscl2009.1.151","en","International Society of the Learning Sciences (ISLS)","Collaborative learning in virtual seminars: Analyzing learning processes and learning outcomes","Papers"
"15effa54-9bb1-4317-836b-36b04cc6a893","1/2927","Saravanos, Antonios||Paek, Seungoh||Kuwata, Jin||Saravanos, Alexandra","2020-01-09T16:06:08Z","2019-05-25T17:18:11Z","2020-01-09T16:06:08Z","2019-05-25T17:18:11Z","2009-06","This study explores the impact that student exposure to instructor made corrected- errors can have on their pedagogy through the use of asynchronous video-based lessons. We define corrected-errors as segments in the lesson where the instructor makes an error, identifies that an error has been made, and then goes on to correct it. Our study measures the learners' performance on a similar task by looking at the efficiency in which that task is carried out. We hypothesize that the modeling of error detection and correction skills when coupled with the instructor's explicit meta-cognitive explanation and reflection of errors, will lead to an increase in efficiency.","Made available in DSpace on 2020-01-09T16:06:08Z (GMT). No. of bitstreams: 1
161-164.pdf: 247375 bytes, checksum: 525fb0a8f496a655013c3a105ea8b691 (MD5)
  Previous issue date: 2009-06","Saravanos, A., Paek, S., Kuwata, J., & Saravanos, A. (2009). The Effects of corrected-errors in asynchronous video based lessons on task efficiency. In O'Malley, C., Suthers, D., Reimann, P., & Dimitracopoulou, A. (Eds.), Computer Supported Collaborative Learning Practices: CSCL2009 Conference Proceedings (pp. 161-164). Rhodes, Greece: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/2937","https://doi.dx.org/10.22318/cscl2009.1.161","en","International Society of the Learning Sciences (ISLS)","The Effects of corrected-errors in asynchronous video based lessons on task efficiency","Papers"
