id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.type[en_US]
"6d2d62d2-2b55-40c6-8a09-a718dc0d0d6a","1/386","Downton, Michael P.","2017-06-19T12:22:11Z","2017-06-19T14:15:51Z","2017-06-19T12:22:11Z","2017-06-19T14:15:51Z","2015-07","With the progression of more user-friendly music production software packages (i.e., Apple’s GarageBand) and the importance of social media, learners are engaging with music without having any formal education on important musical concepts.  It has been suggested that novice music learners should start with what they know how to intuitively do already, which will allow them to move to more sophisticated musical concepts (e.g., notation, intervals).  However, music production is becoming more a group project than a solitary one in which everyone in a group has a voice.  A fourth grade classroom (N = 36) engaged in a music curriculum using the learning software Impromptu.  Findings suggest that when students are able to reflect-in-action, their reflections become building blocks for others in the group to use and add to their knowledge base.","Made available in DSpace on 2017-06-19T12:22:11Z (GMT). No. of bitstreams: 1
105.pdf: 525097 bytes, checksum: 521bbc2ed2910497ba9ff3f2601584d6 (MD5)
  Previous issue date: 2015-07","Downton, M. P. (2015). “That’s What Everyone Else Is Saying…”: Collaborative Reflection-in-Action during Creative Activities In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/387","https://doi.dx.org/10.22318/cscl2015.105","en","International Society of the Learning Sciences, Inc. [ISLS].","“That’s What Everyone Else Is Saying…”: Collaborative Reflection-in-Action during Creative Activities","Book chapter"
"01cbd42a-f67c-496f-94a3-0dc8ad70d433","1/386","Fong, Cresencia||Cober, Rebecca||Messina, Richard||Moher, Tom||Murray, Julia||Peebles, Ben||Slotta, James D.","2017-06-19T12:22:12Z","2017-06-19T14:15:51Z","2017-06-19T12:22:12Z","2017-06-19T14:15:51Z","2015-07","This paper reports on second and third iteration classroom trials of Common Knowledge (CK2 and CK3 respectively) – a pedagogical and technological innovation that supports teacher orchestration of inquiry discourse occurring in the digital CK environment and face-to-face in the classroom. CK facilitated the scaffolding of grade 5/6 students through phases of collaborative biodiversity (CK2) and astronomy (CK3) inquiry. Using tablets, students contributed to a community knowledge base that was publicly displayed on an interactive whiteboard (IWB). The IWB visualized the community’s idea flow, enabling learners to sort their ideas along socially-negotiated categories. Inquiry work done in the CK environment affected the knowledge work done in the face-to-face classroom discussions, and vice versa. We observed that teachers used an orchestration cycle of Reflect-Refocus-Release (3R) as a means of managing this blended learning environment. A comparison of teachers’ Reflect discourse structures between both iterations, indicate such patterns vary with inquiry task demands.","Made available in DSpace on 2017-06-19T12:22:12Z (GMT). No. of bitstreams: 1
122.pdf: 704229 bytes, checksum: 6d0443315c08404787198c87cf55118e (MD5)
  Previous issue date: 2015-07","Fong, C., Cober, R., Messina, R., Moher, T., Murray, J., Peebles, B., & Slotta, J. D. (2015). The 3R Orchestration Cycle: Fostering Multi-Modal Inquiry Discourse in a Scaffolded Inquiry Environment In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/388","https://doi.dx.org/10.22318/cscl2015.122","en","International Society of the Learning Sciences, Inc. [ISLS].","The 3R Orchestration Cycle: Fostering Multi-Modal Inquiry Discourse in a Scaffolded Inquiry Environment","Book chapter"
"c10b50c3-6e8b-4531-81c3-7f3e0b807c6d","1/386","Hong, Huang-Yao||Chai, Ching Sing||Hung, Guo-Tsai","2017-06-19T12:22:12Z","2017-06-19T14:15:51Z","2017-06-19T12:22:12Z","2017-06-19T14:15:51Z","2015-07","This exploratory study investigated the effects of engaging teacher-education students in collaborative lesson design activities guided by knowledge building principles on their mathematics teaching practices. The study context was a university course concerning mathematics teaching practice. Analyses focused on (a) online collaborative lesson design activities, and (b) classroom teaching practices. Results showed that the principle-based guidance (a) was conducive to progressively more collaborative knowledge work, and (b) was able to engage the participants in gradually more adaptive mathematical teaching practice.","Made available in DSpace on 2017-06-19T12:22:12Z (GMT). No. of bitstreams: 1
126.pdf: 267763 bytes, checksum: dd7c57530e5457c5792bbd3b83855427 (MD5)
  Previous issue date: 2015-07","Hong, H., Chai, C. S., & Hung, G. (2015). Principle-Based Guidance to Foster Adaptive Teaching Practice In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/389","https://doi.dx.org/10.22318/cscl2015.126","en","International Society of the Learning Sciences, Inc. [ISLS].","Principle-Based Guidance to Foster Adaptive Teaching Practice","Book chapter"
"b03a3073-b1da-4a7c-b6a7-c7c7c0c34d2d","1/386","d'Apollonia, Silvia||Kunicki, Suzanne||Bronet, Murray","2017-06-19T12:22:13Z","2017-06-19T14:15:51Z","2017-06-19T12:22:13Z","2017-06-19T14:15:51Z","2015-07","We incorporated traditional conceptual knowledge in an introductory Biology course into a Web 2.0 learning environment, which we called Connected Biology. We subsequently investigated whether faculty and students using it for 15 weeks found it useful. We used Crazy Egg (a commercial tracking site) to track students’ use of Connected Biology and their use of Web 2.0 tools. Students found Connected Biology useful (learnable, memorable, satisfying, and error-free) but not efficient. Although they accessed Connected Biology over 15 weeks, they tended to use it primarily to get feedback on their understanding of course content and not for exploratory activities. Interviews with faculty teaching introductory science courses indicated that most hold to a prescriptive learning model. The paper argues that we need to attend to the prevailing culture of introductory science courses (both student and teacher) before introducing Web 2.0 tools. Only then will the affordances of Web 2.0 tools be attained.","Made available in DSpace on 2017-06-19T12:22:13Z (GMT). No. of bitstreams: 1
136.pdf: 295994 bytes, checksum: ded8a14326ee6f0262d4b86317294200 (MD5)
  Previous issue date: 2015-07","d'Apollonia, S., Kunicki, S., & Bronet, M. (2015). Connected Biology: A Usability Study of Web 2.0 Tools In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/390","https://doi.dx.org/10.22318/cscl2015.136","en","International Society of the Learning Sciences, Inc. [ISLS].","Connected Biology: A Usability Study of Web 2.0 Tools","Book chapter"
"356b6342-68fa-4feb-a1c1-1ae318035c89","1/386","Oshima, Jun||Oshima, Ritsuko||Fujita, Wataru","2017-06-19T12:22:14Z","2017-06-19T14:15:51Z","2017-06-19T12:22:14Z","2017-06-19T14:15:51Z","2015-07","The purpose of this study was to propose a multivocality approach to analyzing shared epistemic agency in collaborative learning and to test its effectiveness by examining actual datasets. We proposed the combination of social network analysis (SNA) and in-depth dialogical analysis as a multivocality approach and analyzed discourse transcriptions of collaborative reading comprehension by university students as datasets. First, we identified pivotal points of discourse where students might engage in an epistemic action toward alleviating a lack of knowledge. Then, we conducted in-depth analysis of discourse segments around the pivotal points. Results revealed that pivotal points identified by SNA were confirmed as alleviating lack of knowledge by further in-depth dialogical analysis. We further succeeded in identifying dialogical patterns in the shared epistemic agency and each individual student’s contribution to them.","Made available in DSpace on 2017-06-19T12:22:14Z (GMT). No. of bitstreams: 1
146.pdf: 676403 bytes, checksum: cdaf4f4599774ad002d2db1116ad1bcf (MD5)
  Previous issue date: 2015-07","Oshima, J., Oshima, R., & Fujita, W. (2015). A Multivocality Approach to Epistemic Agency in Collaborative Learning In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/391","https://doi.dx.org/10.22318/cscl2015.146","en","International Society of the Learning Sciences, Inc. [ISLS].","A Multivocality Approach to Epistemic Agency in Collaborative Learning","Book chapter"
"d8f3884d-5f55-41f5-b81c-c3b5a1f7179c","1/386","Davidsen, Jacob||Ryberg, Thomas","2017-06-19T12:22:15Z","2017-06-19T14:15:51Z","2017-06-19T12:22:15Z","2017-06-19T14:15:51Z","2015-07","In CSCL studies, language is often foregrounded as the primary resource for engaging in collaborative learning, while the body is more often positioned as a secondary resource. In this paper, we present, analyse and discuss how two nine-year-old children collaborate through gesturing and moving their bodies around a touchscreen. The pair is working with the concept of scale and are in midst of copying their rooms from paper to touchscreen. During this process, the pair engages in a discussion regarding the size of one meter through language, gestures and manipulation of the material resource. The analysis shows two distinct ways of understanding the length of one meter, which primarily is visible through the children’s gesturing and bodily movement. In conclusion, the analysis shows that children dynamically produce body-material resources for communicative and illustrative purposes; moreover, they use body-material as a cognitive tool and as a way of shepherding the other.","Made available in DSpace on 2017-06-19T12:22:15Z (GMT). No. of bitstreams: 1
150.pdf: 529656 bytes, checksum: f31cf59289d4d2cfd37d18ffb5fad301 (MD5)
  Previous issue date: 2015-07","Davidsen, J. & Ryberg, T. (2015). “This Is the Size of One Meter”: Children’s Bodily-Material Collaboration and Understanding of Scale around Touchscreens In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/392","https://doi.dx.org/10.22318/cscl2015.150","en","International Society of the Learning Sciences, Inc. [ISLS].","“This Is the Size of One Meter”: Children’s Bodily-Material Collaboration and Understanding of Scale around Touchscreens","Book chapter"
"3f6fc39f-8fd6-43ae-87f4-28327820c492","1/386","Abdu, Rotem","2017-06-19T12:22:15Z","2017-06-19T14:15:51Z","2017-06-19T12:22:15Z","2017-06-19T14:15:51Z","2015-07","In this paper I use the conceptual change theoretical framework, in order to describe and evaluate the productivity of teacher's in-situ support to Situational misconceptions. I illustrate a case in which two students work together in order to solve a problem in math. The focal point is their teacher's intervention, in which she attempts to get her students out of a messy situation. This analysis helps to understand, in fine grain, the process – and consequences – of avoiding refutation of non-productive narratives, before adding new ones - in the context of math problem solving. In addition, we learn that in the process of solution, narratives might not always compete: ideas from two, or more, narratives could be forged to new Situational misconceptions.","Made available in DSpace on 2017-06-19T12:22:15Z (GMT). No. of bitstreams: 1
154.pdf: 548813 bytes, checksum: 66f5fc0c14e301ea10d81e02334d3f96 (MD5)
  Previous issue date: 2015-07","Abdu, R. (2015). The Development of Situational-Misconceptions in Math Problem Solving In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/393","https://doi.dx.org/10.22318/cscl2015.154","en","International Society of the Learning Sciences, Inc. [ISLS].","The Development of Situational-Misconceptions in Math Problem Solving","Book chapter"
"6d036491-0db9-477a-ba8f-e554e600d59f","1/386","Dascalu, Mihai||Trausan-Matu, Stefan||Dessus, Philippe||McNamara, Danielle S.","2017-06-19T12:22:16Z","2017-06-19T14:15:51Z","2017-06-19T12:22:16Z","2017-06-19T14:15:51Z","2015-07","As Computer Supported Collaborative Learning (CSCL) gains a broader usage in multiple educational scenarios facilitated by the use of technology, the need for automated tools capable of detecting and stimulating collaboration increases. We propose a computational model using ReaderBench that assesses collaboration from a dialogical perspective. Accordingly, collaboration emerges from the inter-twining of different points of view or, more specifically, from the inter-animation of voices pertaining to different speakers. Collaboration is determined from the intertwining or overlap of voices emitted by different participants throughout the ongoing conversation. This study presents a validation of this model consisting of a comparison between the output of our system and human evaluations of 10 chat conversations, selected from a corpus of more than 100 chats, in which Computer Science students debated on the advantages and disadvantages of CSCL technologies (e.g., chat, blog, wiki, forum, or Google Wave). The human evaluations of the degree of collaboration between the participants and the automated scores showed good overlap as measured by precision, recall, and F1 scores. Our overarching conclusion is that dialogism derived from the overlapping of voices can be perceived as a signature for collaboration.","Made available in DSpace on 2017-06-19T12:22:16Z (GMT). No. of bitstreams: 1
158.pdf: 432759 bytes, checksum: bd19cde14bb0c632d521d82b0eca5337 (MD5)
  Previous issue date: 2015-07","Dascalu, M., Trausan-Matu, S., Dessus, P., & McNamara, D. S. (2015). Dialogism: A Framework for CSCL and a Signature of Collaboration In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/394","https://doi.dx.org/10.22318/cscl2015.158","en","International Society of the Learning Sciences, Inc. [ISLS].","Dialogism: A Framework for CSCL and a Signature of Collaboration","Book chapter"
"343bd84b-fc47-47bc-a7c4-d872fb7e88f8","1/386","Flood, Virginia J.||Neff, Michael||Abrahamson, Dor","2017-06-19T12:22:17Z","2017-06-19T14:15:51Z","2017-06-19T12:22:17Z","2017-06-19T14:15:51Z","2015-07","Little is known about the collaborative learning processes of interdisciplinary teams designing technology-enabled immersive learning systems. In this conceptual paper, we reflect on the role of digitally captured embodied performances as boundary objects within our heterogeneous two-team collective of learning scientists and computer scientists as we design an embodied, animated virtual tutor embedded in a physically immersive mathematics learning system. Beyond just a communicative resource, we demonstrate how these digitized, embodied performances constitute a powerful mode for both inter- and intra-team learning and innovation. Our work illustrates the utility of mobilizing the material conditions of learning.","Made available in DSpace on 2017-06-19T12:22:17Z (GMT). No. of bitstreams: 1
162.pdf: 400980 bytes, checksum: 2c510869e9a1b9ad31c36a9c31f7b969 (MD5)
  Previous issue date: 2015-07","Flood, V. J., Neff, M., & Abrahamson, D. (2015). Boundary Interactions: Resolving Interdisciplinary Collaboration Challenges Using Digitized Embodied Performances In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/395","https://doi.dx.org/10.22318/cscl2015.162","en","International Society of the Learning Sciences, Inc. [ISLS].","Boundary Interactions: Resolving Interdisciplinary Collaboration Challenges Using Digitized Embodied Performances","Book chapter"
"67d975fe-3d71-435a-af3d-9275578f42b7","1/386","Yoon, Susan A.||Anderson, Emma||Koehler-Yom, Jessica||Klopfer, Eric||Sheldon, Josh||Wendel, Daniel||Schoenfeld, Ilana||Scheintaub, Hal||Oztok, Murat||Evans, Chad","2017-06-19T12:22:17Z","2017-06-19T14:15:51Z","2017-06-19T12:22:17Z","2017-06-19T14:15:51Z","2015-07","While research on teaching and learning about complex systems has achieved solid grounding in the learning sciences, few educational studies have focused on articulating design features for classroom implementation that can serve a modular purpose for building curricular and instructional experiences. Furthermore, despite the fact that several studies describe important roles for teachers in constructing successful classroom learning experiences, only a few of them examine how teachers’ instructional practices, knowledge, and beliefs influence student learning outcomes and the extent to which teachers are interested and willing to teach through complex systems approaches. Furthermore, we do not know what supports teachers themselves say that they need to teach about complex systems in their classrooms. In this study, we present a curriculum and instruction framework that outlines how teaching and learning about complex systems in high school science classroom contexts can be done. We articulate the features of the framework and provide examples of how the framework is translated into practice. We follow with evidence from an exploratory study conducted with 10 teachers and over 300 students aimed at understanding change in teachers’ instructional practices; the extent to which students learned from the activities; what teachers’ perceptions were in terms of utility and usability; and what other supports teachers needed.","Made available in DSpace on 2017-06-19T12:22:17Z (GMT). No. of bitstreams: 1
165.pdf: 269066 bytes, checksum: 1db7b9f1bb15dfa440ac7576fed685b7 (MD5)
  Previous issue date: 2015-07","Yoon, S. A., Anderson, E., Koehler-Yom, J., Klopfer, E., Sheldon, J., Wendel, D., Schoenfeld, I., Scheintaub, H., Oztok, M., & Evans, C. (2015). Design Features for Computer-Supported Complex Systems Learning and Teaching in High School Science Classrooms In  Lindwall, O., Häkkinen, P., Koschman, T. Tchounikine, P.  Ludvigsen, S. (Eds.) (2015). Exploring the Material Conditions of Learning: The Computer Supported Collaborative Learning (CSCL) Conference 2015, Volume 1. Gothenburg, Sweden: The International Society of the Learning Sciences.","https://repository.isls.org/handle/1/396","https://doi.dx.org/10.22318/cscl2015.165","en","International Society of the Learning Sciences, Inc. [ISLS].","Design Features for Computer-Supported Complex Systems Learning and Teaching in High School Science Classrooms","Book chapter"
