id,collection,dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.type[en_US]
"327a2eb8-1e9f-4da0-8da4-d9b7fc3f4e95","1/191","Schmitt, Lara Johanna||Weinberger, Armin",,"2017-06-19T10:37:44Z||2017-06-19T08:48:32Z",,"2017-06-19T10:37:44Z||2017-06-19T08:48:32Z",,"2017-07",,"Multi-touch interfaces allow for direct and simultaneous input by several co-present learners. Additional scaffolding may or may not be needed to ease or problematize tasks that involve intuitive bodily experiences. In this study, a tablet app (“Proportion”) is supposed to enable two novices (about 10 years old) to collaboratively construct an understanding of proportional relations. In a 2×2 factorial design (n = 162), effects of facilitating strategy prompts (with / without) and problematizing verbalization prompts (with / without) regarding the variables task focus, emotions, quality of dialogue and learning gains have been investigated. While the strategy prompts did not have any significant influence, the verbalization prompts had versatile effects: On one hand, quality of talk was improved, on the other hand, task focus and emotions were negatively affected. Learning gains were limited to near transfer task types and comparable over conditions.","Made available in DSpace on 2017-06-19T08:48:32Z (GMT). No. of bitstreams: 1
5.pdf: 912004 bytes, checksum: a7583e090acfcffdd9161210d577df77 (MD5)
  Previous issue date: 2017-07","Schmitt, L. J. & Weinberger, A. (2017). Collaborative Learning on Multi-Touch Interfaces: Scaffolding Elementary School Students In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 1. Philadelphia, PA: International Society of the Learning Sciences.","https://dx.doi.org/10.22318/cscl2017.5||https://repository.isls.org/handle/1/192",,"en","Philadelphia, PA: International Society of the Learning Sciences.","Collaborative Learning on Multi-Touch Interfaces: Scaffolding Elementary School Students","Book chapter"
"808673dd-85ff-421f-b531-4712def9beda","1/191",,"Asterhan, Christa||Bouton, Edith","2017-06-19T08:57:39Z","2017-06-19T10:50:27Z","2017-06-19T08:57:39Z","2017-06-19T10:50:27Z",,"2017-07","The promise of social network technology for learning purposes has been heavily debated, with proponents highlighting its transformative qualities and opponents its distracting potential. However, very little is known about the actual, everyday use of ubiquitous social network technologies for learning and study purposes in secondary schools. In the present work, we present findings from two survey studies on representative samples of Israeli, Hebrew-speaking teenagers (N = 206 and N = 515) which explored the scope, characteristics and reasons behind such activities. Findings show that such practices can be described best as online knowledge sharing, that is: the up- and downloading of knowledge and knowledge sources to social network peer groups. This teenage, school-related knowledge sharing is common and widespread, entails different types of knowledge, and is mainly motivated by prosocial motives, as well as expectations for future reciprocation. Sharing is predicted by individual differences, such as gender, collectivist values, mastery goal orientations and academic self-efficacy. Relations between competitive-individualist values and sharing are more complex, and are, among others, moderated by expectations for future benefits. Implications for educational practices and for collaborative learning theories are discussed.","Made available in DSpace on 2017-06-19T08:57:39Z (GMT). No. of bitstreams: 1
10.pdf: 839528 bytes, checksum: ae8651705750a6e3cf644d44bc56244d (MD5)
  Previous issue date: 2017-07","Asterhan, C. & Bouton, E. (2017). Secondary school peer-to-peer knowledge sharing through social network technologies In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 1. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/193","https:dx.doi.org/10.22318/cscl2017.10","en","Philadelphia, PA: International Society of the Learning Sciences.","Secondary school peer-to-peer knowledge sharing through social network technologies","Book chapter"
"3f5aa3f9-701f-4b21-bcf8-e8a659d571b6","1/191",,"Sommer, Stephen||Hinojosa, Leighanna||Traut, Hilary||Polman, Joseph||Weidler-Lewis, Joanna","2017-06-19T08:57:41Z","2017-06-19T10:52:18Z","2017-06-19T08:57:41Z","2017-06-19T10:52:18Z",,"2017-07","At the beginning of a one week science summer camp designed to promote student visual, scientific and data literacy, participants were recorded viewing infographics by an eye tracking-machine. Data were shared with participants the following day as fodder for discussion about data literacy, visual representations, and information processing. The eye-tracking activities helped make visible and public students' private visual strategies. Utilizing these data and other multi-modal representations, students participated in a collaborative, metacognitive, reflective process regarding their own visual strategies, the mental processes of others, and comparisons within. This activity was one of an ensemble of technological activities and artifacts that afforded students a way to collaboratively engage with otherwise private, and often tacit thoughts. Results of this work in progress suggest that this sort of computer-supported intervention could be used productively to enhance student multi-semiotic discourse and collaborative reflective inquiry.","Made available in DSpace on 2017-06-19T08:57:41Z (GMT). No. of bitstreams: 1
100.pdf: 814591 bytes, checksum: c4f01f5cfe5b3ed168535b806334a247 (MD5)
  Previous issue date: 2017-07","Sommer, S., Hinojosa, L., Traut, H., Polman, J., & Weidler-Lewis, J. (2017). Integrating Eye-Tracking Activities Into a Learning Environment to Promote Collaborative Meta-Semiotic Reflection and Discourse In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/194","https:dx.doi.org/10.22318/cscl2017.100","en","Philadelphia, PA: International Society of the Learning Sciences.","Integrating Eye-Tracking Activities Into a Learning Environment to Promote Collaborative Meta-Semiotic Reflection and Discourse","Book chapter"
"1a9d7414-40e9-4683-98e4-e6381ba01040","1/191",,"Jung, Yong Ju||Toprani, Dhvani||Yan, Shulong||Borge, Marcela","2017-06-19T08:57:42Z","2017-06-19T10:52:18Z","2017-06-19T08:57:42Z","2017-06-19T10:52:18Z",,"2017-07","In CSCL studies, children have been largely excluded from decision-making processes around orchestration by being required to follow predetermined scripts for collaboration. However, opportunities to acknowledge issues surrounding the process of collaboration (i.e., shared resources) and resolve related problems are important for the development of higher-order collective cognitive processes. Thus, considering cognitive apprenticeship, this case study illustrates a session at an afterschool club where children worked on collaborative design projects with Minecraft and were empowered to participate in decision-making processes surrounding classroom rules and orchestration of activities.","Made available in DSpace on 2017-06-19T08:57:42Z (GMT). No. of bitstreams: 1
101.pdf: 874102 bytes, checksum: 3c65454264d71e2dfe87b3cc32bf546e (MD5)
  Previous issue date: 2017-07","Jung, Y. J., Toprani, D., Yan, S., & Borge, M. (2017). Children’s Participation in Rulemaking to Mitigate Process Problems in CSCL In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/195","https:dx.doi.org/10.22318/cscl2017.101","en","Philadelphia, PA: International Society of the Learning Sciences.","Children’s Participation in Rulemaking to Mitigate Process Problems in CSCL","Book chapter"
"071a4721-c49d-403a-8b24-1ee94f5c07ee","1/191",,"Wagh, Aditi||Levy, Sharona||Horn, Michael||Guo, Yu||Brady, Corey||Wilensky, Uri","2017-06-19T08:57:42Z","2017-06-19T10:52:18Z","2017-06-19T08:57:42Z","2017-06-19T10:52:18Z",,"2017-07","In response to increasing calls to include computational thinking (CT) in K-12 education, some researchers have argued for integrating science learning and CT. In that vein, this paper investigates conceptual learning and computational practices through the use of a code-first modeling environment called Frog Pond in a middle school classroom. The environment was designed to enable learners to explore models of evolutionary shifts through domain-specific agent-based visual programming. It was implemented as a curricular unit in seventh grade science class. We analyzed video and log data of two contrasting student pairs. This paper presents one of our findings: Development of modular core functional code-units or what we call anchor code. Anchor code is a body of code that creates a stable base from which further explorations take place. We argue that anchor code is evidence for conceptual learning and computational practices.","Made available in DSpace on 2017-06-19T08:57:42Z (GMT). No. of bitstreams: 1
102.pdf: 949373 bytes, checksum: 13d83eea872fe7dacabb68763f57831a (MD5)
  Previous issue date: 2017-07","Wagh, A., Levy, S., Horn, M., Guo, Y., Brady, C., & Wilensky, U. (2017). Anchor Code: Modularity as Evidence for Conceptual Learning and Computational Practices of Students Using a Code-First Environment In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/196","https:dx.doi.org/10.22318/cscl2017.102","en","Philadelphia, PA: International Society of the Learning Sciences.","Anchor Code: Modularity as Evidence for Conceptual Learning and Computational Practices of Students Using a Code-First Environment","Book chapter"
"4bdf0f63-8633-4fa8-a120-dd21aa4ac2f6","1/191",,"Tao, Dan||Zhang, Jianwei","2017-06-19T08:57:43Z","2017-06-19T10:52:18Z","2017-06-19T08:57:43Z","2017-06-19T10:52:18Z",,"2017-07","This study investigates how a Grade 5 science community co-constructed collective structures of inquiry in the form of “research cycles” to support sustained inquiry in a whole school year. Qualitative analysis of field notes, classroom videos and student notebooks documented the evolution of research cycles. Analysis of student interviews showed how this structure was used and adapted by individual student to position and monitor knowledge progress and plan for further inquiry. Content analyses of student online discourse in Knowledge Forum indicated that students made more purposeful contributions aligning with the research cycle after formation.","Made available in DSpace on 2017-06-19T08:57:43Z (GMT). No. of bitstreams: 1
103.pdf: 837795 bytes, checksum: 1ea77d4f27259004292c3b07c025a6fa (MD5)
  Previous issue date: 2017-07","Tao, D. & Zhang, J. (2017). How Did a Grade 5 Science Community Co-Construct Collective Structures of Inquiry? In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/197","https:dx.doi.org/10.22318/cscl2017.103","en","Philadelphia, PA: International Society of the Learning Sciences.","How Did a Grade 5 Science Community Co-Construct Collective Structures of Inquiry?","Book chapter"
"43745429-db8b-46b4-87bb-fa7cad94b649","1/191",,"Applebaum, Lauren R.||Fricke, Kyle W.||Vitale, Jonathan M.||Linn, Marcia C.","2017-06-19T08:57:44Z","2017-06-19T10:52:18Z","2017-06-19T08:57:44Z","2017-06-19T10:52:18Z",,"2017-07","Students maintain a range of alternative ideas around the causes of climate change (Rye et al., 1997). To help students diversify their repertoire of ideas, we engaged students in a cooperative activity in which individual students chose to investigate one of three possible topics (meat-eating, albedo, or ozone), and then reported back to their peers. Students investigated Netlogo (Wilensky, 1999) models that included features relevant to their chosen topic. After exploring one of the computer models, students met in jigsaw groups (Aronson & Patnoe, 2011). Results on assessment items matched to each investigation show that scores improved across all topics for all students. However, students in the meat-eating investigation show more improvement for the meat-eating item, while students who investigated albedo and ozone performed equally well on all items. These findings suggest that the jigsaw activity helped all students learn about the causes of climate change from their peers.","Made available in DSpace on 2017-06-19T08:57:44Z (GMT). No. of bitstreams: 1
104.pdf: 956679 bytes, checksum: 5c4618043e282a74a2548ef80ab1e3b1 (MD5)
  Previous issue date: 2017-07","Applebaum, L. R., Fricke, K. W., Vitale, J. M., & Linn, M. C. (2017). Learning About Climate Change Through Cooperation In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/198","https:dx.doi.org/10.22318/cscl2017.104","en","Philadelphia, PA: International Society of the Learning Sciences.","Learning About Climate Change Through Cooperation","Book chapter"
"cea3d539-f12f-498c-9673-787e1a5cd817","1/191",,"Zhu, Gaoxia||Scardamalia, Marlene||Khanlari, Ahmad||Wan, Haipeng","2017-06-19T08:57:45Z","2017-06-19T10:52:18Z","2017-06-19T08:57:45Z","2017-06-19T10:52:18Z",,"2017-07","Asymmetric collaboration in CSCL environments may lead to exclusion of some students and less idea diversity than needed for a productive, inclusive community. To uncover the degree of asymmetric collaboration, the social entropy index (the sum of relative participation proportions of each individual) was adopted in some studies, but only quantitative indicators (e.g., the number of characters) were considered in the measurement. In this study, we define participation evenness plus the dimension of the quality of students’ notes as “idea evenness”. Adopting the entropy and using the depth of understanding within students’ theorizing notes as the parameter, we analyzed the idea evenness of five Knowledge Building communities. We found that the idea evenness values are high in four of the communities and can reflect the different distributions of students’ depth of understanding in different communities. The results indicate that students participated in theorizing evenly in most knowledge building communities.","Made available in DSpace on 2017-06-19T08:57:45Z (GMT). No. of bitstreams: 1
105.pdf: 903055 bytes, checksum: 18f6078f414fec057111826b95b9b7b7 (MD5)
  Previous issue date: 2017-07","Zhu, G., Scardamalia, M., Khanlari, A., & Wan, H. (2017). Evaluating the Distribution of Students’ Contributions in Theorizing: Idea Evenness in Knowledge Building Communities In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/199","https:dx.doi.org/10.22318/cscl2017.105","en","Philadelphia, PA: International Society of the Learning Sciences.","Evaluating the Distribution of Students’ Contributions in Theorizing: Idea Evenness in Knowledge Building Communities","Book chapter"
"968fa392-0d85-49c8-890d-b1648715821c","1/191",,"Koh, Elizabeth||Hong, Helen","2017-06-19T08:57:46Z","2017-06-19T10:52:18Z","2017-06-19T08:57:46Z","2017-06-19T10:52:18Z",,"2017-07","Teachers play an important role as co-designers in the development of learning interventions in blended CSCL environments. However when new pedagogy and technology are introduced, it may not be easy for teachers to thrive in such complex environments. It is therefore important to identify key knowledge bases required for teachers to teach effectively in new CSCL environments. Using the lens of Technological Pedagogical Content Knowledge (TPACK), the paper will examine two case studies of teachers who co-designed a CSCL tool for teamwork with a research team and implemented it in their classrooms. The paper reveals the interacting components of technology, pedagogy and content knowledge, and highlights strengths as well as growth areas for the teachers’ further professional development. Through identifying and then building these knowledge layers, teachers will be able to harness tools and co-design proficiently and successfully in technological environments.","Made available in DSpace on 2017-06-19T08:57:46Z (GMT). No. of bitstreams: 1
106.pdf: 810291 bytes, checksum: 3ff544190ef8d48c877dae927bd7b19f (MD5)
  Previous issue date: 2017-07","Koh, E. & Hong, H. (2017). Developing Professional Competency in a CSCL Environment for Teamwork: Two TPACK Case Studies of Teachers as Co-Designers In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/200","https:dx.doi.org/10.22318/cscl2017.106","en","Philadelphia, PA: International Society of the Learning Sciences.","Developing Professional Competency in a CSCL Environment for Teamwork: Two TPACK Case Studies of Teachers as Co-Designers","Book chapter"
"e1c361c2-d254-4146-9b91-bd6326d806d2","1/191",,"Kim, Soo Hyeon||Zimmerman, Heather Toomey","2017-06-19T08:57:46Z","2017-06-19T10:52:18Z","2017-06-19T08:57:46Z","2017-06-19T10:52:18Z",,"2017-07","This study investigates how young children engage in collaborative argumentation during Making and Tinkering (M&T) afterschool program using Squishy Circuits. Two perspectives guide the work: constructionism to explore M&T practices and everyday argumentation to explore the ways peers support each other in collaborative argumentation. The video-based study was conducted during an hour-long afterschool learning sessions over three weeks. Episodes of learners’ collaborative argumentation practices were analyzed by examining talk, body formation, gestures, and tool handling. The findings expand current research on argumentation by describing and characterizing the collaborative argumentation practices that occurred during M&T. Findings also contribute an understanding of collaborative argumentation as a theoretical framework to expand constructionism.","Made available in DSpace on 2017-06-19T08:57:46Z (GMT). No. of bitstreams: 1
107.pdf: 816325 bytes, checksum: cf00cf64a1fa2f8fb4107e64757322bc (MD5)
  Previous issue date: 2017-07","Kim, S. H. & Zimmerman, H. T. (2017). Collaborative Argumentation During a Making and Tinkering Afterschool Program With Squishy Circuits In Smith, B. K., Borge, M., Mercier, E., and Lim, K. Y. (Eds.). (2017). Making a Difference: Prioritizing Equity and Access in CSCL, 12th International Conference on Computer Supported Collaborative Learning (CSCL) 2017, Volume 2. Philadelphia, PA: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/201","https:dx.doi.org/10.22318/cscl2017.107","en","Philadelphia, PA: International Society of the Learning Sciences.","Collaborative Argumentation During a Making and Tinkering Afterschool Program With Squishy Circuits","Book chapter"
