id,dc.contributor.author[],dc.title[en_US],dc.description.abstract[en_US],dc.subject[en_US],dc.type[en_US]
0,"Luehmann, April",A Theory of Design and One Successful Product ñ An Effective Model of Technology-Supported Educational Programs,"One Sky, Many Voices (OSMV), a research group from the University of Michigan, has successfully designed and works to continually refine an insightful and effective model of Internet-supported science curricula for middle-school students. Design, as a process, is an activity that requires the definition, articulation or development of multiple components such as user needs, design goals, and a potential solution in the form of a general model, to name a few. This paper highlights these key elements of design as well as the relationship between them. For example, research plays an integral role in the design efforts by One Sky Many Voices. When designing a system of elements that are intended to work together to accomplish some objective(s) (i.e., software and curriculum), an additional requirement of more global levels of expertise is discussed. To illustrate these ideas, the work of One Sky, Many Voices is introduced including their theoretical framework, research goals, design goals, resulting model and finally, a specific example of their success story, Kids as Global Scientists (KGS) '98.",Learner-Centered Design,Long Paper
1,"Brown, Matthew||Edelson, Daniel C.","Software in Context: Designing for Students, Teachers, and Classroom Enactment","While supportive features that address the needs of students and teachers are critical for the success of educational software, they are only the first step toward adoption and effective use of software in the classroom. As learning technologies gain increasing use in classrooms, designers must pay close attention to the pedagogical and logistical issues that teachers face during their enactment. This paper traces the design history of the WorldWatcher visualization software from a learner-centered to a classroom-centered framework, addressing the challenges that teachers faced during enactment and the affordances we have designed to facilitate teacher use.",Learner-Centered Design,Long Paper
2,"Edelson, Daniel C.",Matching the Design of Activities to the Affordances of Software to Support Inquiry-Based Learning,"Achieving the potential of technology-supported inquiry-based learning requires that designers match activity design to the affordances of technology to satisfy the requirements for learning. Inquiry activities can play many roles in the learning process including establishing a need for learning, and discovering, exploring, and applying new knowledge. In the design of the Create-A-World Activity for the WorldWatcher scientific visualization environment, we have matched the design of activities to the affordances of the technology to create inquiry activities that play each of these roles in supporting learning.",Learner-Centered Design,Long Paper
3,"Antonietti, Alessandro||Imperio, Ernesto||Rasi, Chiara||Sacco, Marco",Learning Engineering Concepts through Virtual Reality: the Case of the Turning Lathe,"The present study describes a prototypal system for machine tools teaching in a Virtual Reality environment integrated with hypermedia. The goal is to lead students not only to understand the structure and functioning of the lathe, but also to use such a machine. To reach this, the prototype tries to foster conceptual changes in students' mental models and to increase students' control over the learning process. A series of experimental tests have been carried out to assess the educational validity of the instructional tool which has been devised. The aim of the first phase of the project was to assess whether students could use easily the virtual lathe and to verify what they learn about such a machine. The purpose of the second phase was to focus on some critical aspects of the learning process activated by using the virtual lathe in order to realize which are the instructional procedures which give the best learning outcomes.",Use of Advanced Visualizations in Learning,Long Paper
4,"Salzman, Marilyn||Dede, Chris||Loftin, R. Bowen||Ash, Katy",VR's Frames of Reference: A visualization technique for mastering abstract information spaces,"This paper describes a research study that investigated how designers can use frames of reference (egocentric, exocentric, and a combination of the two) to support the mastery of complex multidimensional information. The primary focus of this study was the relationship between FORs and mastery; the secondary focus was on secondary factors (individual characteristics and interaction experience) that were likely to influence the relationship between FORs and mastery. This study provided useful knowledge about how we can use this feature to enhance VR and other visualization environments. Outcomes showed not only the extent to which different FORs facilitated the mastery of the abstract and multidimensional information spaces, but also provided insights into why this was the case. Three novel and meaningful findings were: (1) the bicentric group consistently outperformed the egocentric and exocentric groups, (2) the traditional pencil and paper test was biased in favor of the exocentric FOR, and (3) people exposed to the egocentric FOR had an enhanced ability to adopt this FOR when problem solving. Additionally, by examining the relationship between FORs and mastery within the context of individual characteristics and the interaction experiences, it was possible to derive a model describing this relationship in a broader context.",Use of Advanced Visualizations in Learning,Long Paper
5,"Hansen, Steven||Schrimpsher, Daniel||Narayanan, N. Hari",Learning Algorithms by Visualization: A Novel Approach using Animation-embedded Hypermedia,"If a """"picture is worth a thousand words,"""" then why have attempts over the past decade to use pictures and animations to replace or supplement traditional instructional methods for teaching algorithms produced such disappointing results? The accumulated empirical evidence is mixed at best, and could easily lead one to abandon the premise that animations are powerful vehicles for effectively conveying the dynamic behaviors of algorithms. However, we report on a research project based on the premise that a rethinking of algorithm animation design is required in order to harness its power to enhance learning. The key insight is that for algorithm animations to be effective, they have to be """"chunked"""" and embedded within a context and knowledge providing hypermedia information presentation system. The theoretical foundations of our approach, architecture of the resulting hypermedia algorithm visualization system, and empirical studies that show a significant advantage for the system over learning from text are described in this paper. We conclude with a discussion of why hypermedia visualizations may be superior to plain animations and future research plans.",Use of Advanced Visualizations in Learning,Long Paper
6,"Shaffer, David Williamson","The Pedagogy of the Digital Studio: learning through collaboration, expression and construction","This paper describes an example of an arts-based, computational learning environment: a project called """"Escher's World"""" where students learned geometry in a """"digital mathematics studio."""" In the Escher's World project, 12 middle-school students participated in 80 hours of graphic design activities over 4 weeks leading up to the production of a museum exhibit on visual mathematics. The paper focuses how collaborative activity, the expressive nature of design, and the digital design medium helped these students learn mathematics during their design work. In particular, the paper looks at the mechanisms through which collaboration, expression and computation support one another in the studio context. The results presented suggest the design studio is a potentially powerful model for computational learning environments in other disciplines.",Design,Long Paper
7,"Kafai, Yasmin B.||Ching, Cynthia Carter",Talking Science through Design: Children's Science Discourse within Software Design Activities,"While educational research and practice have found many benefits of integrative, long-term, and complex design activities, an issue of growing concern is that students might lose sight of science learning while diverting their attention to design aesthetics, collaborative management, and technology. A question is whether or not science is actually separate from these aspects; it may be that science permeates the design environment and is thus contexted within these other activities. To investigate this possibility, we followed three student teams participating in a design project for 10 weeks as they met to collaboratively plan a science software simulation. Specifically, we examined their science discussions during planning and what conversational contexts gave rise to science talk. We found that these planning sessions provided a rich context for problematizing; however, the more students focused on the fine-grained details of the simulation itself, the more sophisticated their science talk was. Results also showed that experienced designers in each of the teams played a crucial role in shaping the contexts for science talk. We discuss the implications for how design tasks might be structured in the future to provide the most productive contexts for problematizing science content and facilitating fruitful science discourse.",Design,Long Paper
8,"Puntambekar, Sadhana||Kolodner, Janet L.",The design diary: development of a tool to support students learn science by design,"We describe the design and development of design diaries, a tool for scaffolding learning by design. The diaries have prompts in them to help students carry out their design related activities. We used the diaries to support life, earth and physical science problems. We will discuss how we made the prompts in the dairies progressively more specific,based on our classroom experiences, and a more detailed model of the design process.",Design,Long Paper
9,"Pfister, Hans-Rüdiger||Wessner, Martin||Beck-Wilson, Jennifer||Miao, Yongwu||Steinmetz, Ralf","Rooms, protocols, and nets: Metaphors for computer-supported cooperative learning of distributed groups","In this paper, we discuss an integrative design for computer supported cooperative learning (CSCL) environments. Three problems that commonly arise in CSCL systems are addressed: How to achieve social orientation and group awareness, how to coordinate goal-directed interaction, and how to construct a shared knowledge base. With respect to each problem, we propose a guiding metaphor which links theoretical, technical, and usability requirements. If appropriately implemented, each metaphor resolves a problem: Virtual rooms support social orientation in small and medium sized groups, learning protocols guide interactions aimed at knowledge acquisition, and knowledge nets provide a means to represent socially shared knowledge. Theoretically, the metaphor of virtual rooms originates in work on virtual spaces in human computer interaction, learning protocols are related to speech act theory, and knowledge nets are based on cognitive models of knowledge representation. In concert, these concepts form a coherent design for learning environments. A prototype system implementing the virtual room metaphor is sketched, and further directions on how to integrate learning protocols and knowledge nets are outlined. We argue that by integrating these three metaphors a cognitively and educationally sound CSCL-environment can be achieved.",Computer Supported Collaborative Learning,Long Paper
