id,dc.contributor.author[],dc.title[en_US],dc.description.abstract[en_US],dc.subject[en_US],dc.type[en_US],dc.identifier.uri,keywords
0,"George, Elizabeth A.||Broadstock, Maan Jiang||Abad, Jesus Vazquez","Learning Energy, Momentum, and Conservation Concepts with Computer Support in an Undergraduate Physics Laboratory","The long-term goal of this project is to explore undergraduate students' learning of physics using two instructional technologies, microcomputer-based laboratories and digital video analysis of experimental data. This presentation will focus on the results from a class of introductory undergraduate physics students, regarding their learning of concepts related to collisions and conservation principles, and students' use of the technologies.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/George.pdf,"science education, higher education, pedagogy"
1,"Hammer, David||Elby, Andrew",Epistemological Resources,"Research on epistemologies has presumed a unitary ontology of ""beliefs""; we propose a manifold ontology of ""resources"" and discuss implications for instruction.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hammer.pdf,"science education, student beliefs, pedagogy, metacognition"
2,"Hickey, Daniel T.||Kindfield, Ann C. H.||Horwitz, Paul||Christie, Mary Ann","Integrating Instruction, Assessment, & Evaluation in a Technology-Based Genetics Environment: The GenScope(TM) Follow-up Study","A previously reported study in 24 secondary science classrooms showed the GenScope computer-supported learning environment to be at least as effective as conventional curricula at enhancing genetics reasoning ability. A follow-up study in three more classrooms yielded the dramatic reasoning gains we had been seeking, partly by addressing four unresolved issues from the prior research. First, addressing previous difficulties implementing GenScope in shared computer labs, the follow-up study used laptop computers installed in the biology classroom. Second, addressing problems establishing valid comparison classrooms, we established a more valid comparison classroom that did not encounter ""carry over"" from the GenScope classrooms. The third issue concerned continuing refinements made to the GenScope curriculum. The final issue concerned one aspect of that curriculum, formative assessments that used the familiar GenScope dragons to scaffold reasoning targeted in our summative assessments. By withholding these activities from one of two GenScope classrooms, the present study confirmed that this enhancement to ""systemic"" validity (Frederiksen & Collins, 1989) presented a small, acceptable degree of compromise to ""evidential"" validity. The specific results and the broader collaboration are considered in light of recent federal policy reports regarding educational technology, educational research, and assessment practices.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Hickey.pdf,"assessment, learning environments, scaffolding, science education"
3,"Jacobson, Michael J.",Problem Solving About Complex Systems: Differences Between Experts and Novices,"This paper reports on a study of problem solving differences between scientific experts in the field of complex systems and novice undergraduate students. Significant differences were found both at the conceptual level and at the level of basic epistemological and ontological presuppositions and beliefs. It is suggested that helping students understand and use complex systems knowledge will require helping students construct a richer conceptual ecology which embraces both non-reductive and decentralized thinking, multiple causality, non-linearity, randomness, and so on. It is hoped that this research might contribute to efforts that are exploring ways for students to acquire a powerful conceptual toolkit based on emerging scientific and social science research into the dynamics of complex systems.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Jacobson.pdf,"Cognitive science, modeling/models, science education, student beliefs."
4,"Jarvela, Sanna||Hakkinen, Paivi",Levels of Web-Based Discussion: Theory of Perspective-Taking as a Tool for Analyzing Interaction,"The aim of this paper is to present a model how the level of web-based discussion can be analyzed. The model has been developed in an empirical study where we examined the quality of asynchronous interaction in web-based conferencing. Because all successful communication presumes perspective-taking skills and reciprocal understanding among the participants, we studied whether the students are able to reach in reciprocal interaction and thus create educationally relevant high-level web-based discussion. The subjects of the study are pre-service teachers in the USA (N=40) and Finland (N=30) who use an asynchronous web-based tool called Conferencing on the Web (COW) to collaborate in creating joint case-based descriptions in different areas of teaching and learning. The results of the study point out different levels of web-based discussion. More specific analysis of the quality of each discussion level focused on perspective taking in communication. The results support our hypothesis that higher level perspective taking was related to higher level discussion. The relevancy of perspective-taking theory as a tool for analysing web-based discussion is discussed.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Jarvela.pdf,"web-based learning, perspective-taking, electronic discussion"
5,"Kalathil, Radha R.||Sherin, Miriam Gamoran",Role of Students' Representations in the Mathematics Classroom,"Learning science research has examined how external representations can be used to foster student reasoning and understanding. This paper describes additional roles that students' representations play in a reform mathematics classroom. The paper describes three ways in which students' representations were used in a classroom: (a) to provide information on how an individual student thinks about a mathematical issue, (b) to provide information on patterns and trends in knowledge across students, and (c) to serve as an classroom tool for the students and teacher.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Kalathil.pdf,"Curriculum, mathematics education, teacher learning"
6,"Lonka, Kirsti",How to Implement an Innovative Problem-Based Curriculum in Medical Education: Challenges and Solutions,"The Faculty of Medicine at the University of Helsinki began to evaluate and reform the curriculum of medical studies in 1994. This process resulted in Helsinki 2000, a hybrid problem-based learning (PBL) curriculum, which was introduced in 1998. When the reform was started, most teachers lacked all pedagogic training, and their understanding of the learning process was rather modest. Data from medical teachers' learning portfolios included evaluations of differents parts of their training process, structured course feedback, and the development of the teaching philosophy. Methods which promoted teachers' experiential learning and reflection on their own work appeared promising in university teacher training.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Lonka.pdf,"educational reform, higher education, teacher beliefs and practices, teacher learning"
7,"Magnusson, Shirley||Hapgood, Susanna||Palincsar, Annemarie||Ford, Danielle",Investigating the Development of Understanding and Scientific Reasoning via Cycles of Guided Inquiry Instruction,"Inquiry in the scientific community involves a combination of first-hand investigation of the physical world and learning from the work of others (second-hand), which is primarily text-based. Our approach to science instruction (Guided Inquiry supporting Multiple Literacies) features an interplay of first- and second-hand experiences via multiple cycles of investigation in multiple contexts, which provide students with opportunities to use and develop ideas and ways of reasoning iteratively. This poster presents cases of GIsML instruction in 2 nd and 4 th grade classroom (studying light motion and light respectively) in which we trace � through the study of classroom discourse, student assessments, and artifacts � the development of conceptual understanding and scientific reasoning, including the ability to: a) conduct fair and reliable tests, b) observe specific aspects of the world to determine relationships among the parts, c) represent findings as knowledge claims, and d) evaluate the adequacy of knowledge claims based on the strength of the evidence supporting them. Results show: a) the role of multiple cycles of first- and second- hand investigations in supporting the deepening and refinement of knowledge, and b) the power of employing scientific reasoning in the service of building conceptual understanding.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Magnusson.pdf,"science education, elementary school, learning environments, discourse"
8,"Matese, Gabrielle||Marshall, Sue||Edelson, Danny",Understanding Adoption of Software Tools: Comparative Case Studies of Teacher Beliefs About and Use of Inquiry-Support Software,"This set of comparative case studies takes some first steps at understanding how to support teachers' efforts to adopt and use an inquiry-support software environment called the Progress Portfolio. We explore two key issues: teachers' beliefs about the functionality of the tool, and ways in which teachers customize it to support inquiry-based learning. Using interview data and software artifacts, the study explored some of the striking similarities and differences in beliefs and tool customization across three teachers engaged in the same instructional unit. Findings provide evidence for an initial category scheme of tool functions perceived by teachers to meet both teacher needs and student needs in scientific investigations. Additionally, teachers' customized Portfolio templates revealed a continuum of general-purpose to task-specific designs to scaffold student inquiry within or across science units. Implications for future research are discussed in light of these results, including a need to expand on the existing belief category scheme and customization examples, and a need to do longitudinal research that will shed more light on changing beliefs and use as a result of experience.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Matese.pdf,"teacher beliefs and practices, science education"
9,"McGee, Steven||Howard, Bruce C.||Panizzon, Debra||Pegg, John",Integrating Inquiry-Based Multimedia Learning Outcomes into Educational Accountability Systems,The purpose of this study was to describe and compare two approaches to assessment that were used to identify the growth in students' understandings of planetary processes. These approaches can be integrated into school accountability systems.,cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/McGee.pdf,"qualitative assessment, quantitative assessment, science education, systemic reform"
10,"Miyake, Naomi||Masukawa, Hiroyuki",Relation-Making to Sense-Making: Supporting College Students' Constructive Understanding with an Enriched Collaborative Note-Sharing System,"We report here a case of university level collaborative learning supported by a note-sharing system called Reflective Collaboration Note or ReCoNote. The system is enriched with the mutual linking capability that requires the learners to explicitly think about and comment on relationships between two pieces of information. In a course on human problem solving the students first studied and reported some classical problem solving literature. The students are then asked to make relations among their presentations by utilizing ReCoNote's mutual linking function, and report to the class the linkages they made. In the third phase, a report on the characteristics of humans as problem-solving systems was required as the summary activity. The log data analyses reveal that the students visited other groups' notes often and as the course develops, links spread from within one's own group's notes to cover notes created by other members belonging to other study topics. Students who actively used the system tended to turn in high-quality summaries. The system has been used in three half-year classes and the initial analyses of the activities have revealed that this mutual linking did in fact help the learners learn rather complicated topics in cognitive science.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Miyake.pdf,"cognitive science, higher education, learning environments, reflection"
11,"Oshima, Jun||Yuasa, Katsutoshi||Oshima, Ritsuko",Strategic Use of Knowledge Media for Conceptual Understanding through Self-Explaining,The effects of knowledge media for self-explaining in learning were explored. University students listened to a psychology lecture tape in three different conditions of self-explaining. Analyses showed that subjects who used a diagram application to represent their units of ideas in a strategic self-explaining condition manifested superior understanding of learned contents.,cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Oshima.pdf,"reflection, scaffolding, visualization"
12,"Rahikainen, Marjaana||Jarvela, Sanna||Salovaara, Hanna",Motivational Processes in CSILE-Based Learning,"The purpose of the present study was to describe motivational processes in a situation of computer supported collaborative learning (CSCL). The study focused on examining whether students representing different motivational orientations would be able to productively function in a CSCL environment in which self-regulation and collaborative inquiry were encouraged. Coping with the new learning environments may be very demanding for a student because he or she has a new cognitive relationship with tasks as well as with the teacher. Two case studies are described and analyzed in order to demonstrate students' motivational interpretations in a CSILE-based progressive inquiry project. The results of these case studies indicate that there were no considerable changes in students' motivational orientations, but students self-reported orientations corresponded to their actual engagement.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Rahikainen.pdf,"motivation, distributed learning environments, computer-mediated communication"
13,"Renninger, K. Ann||Farra, Laura||Feldman-Riordan, Claire",The Impact of The Math Forum's Problem(s) of the Week on Students' Mathematical Thinking,NaN,cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Renninger1.pdf,"mathematics education, assessment, learning environments"
