id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.type[en_US]
"a24c6e00-e7af-4fb5-85dc-e05854e6571f","1/3461","Thompson, Mark||Moher, Tom","2020-01-09T19:03:56Z","2019-05-20T02:44:34Z","2020-01-09T19:03:56Z","2019-05-20T02:44:34Z","2006-06","HelioRoom simulates the orbital motion of the planets in the Solar system on a set of synchronized computer displays situated on the walls of the classroom, with planets ""orbiting"" around the periphery of the room. Third grade students used the application for a problem-solving activity requiring the collection of evidence in support of theories concerning the identity of planets whose size and surface characteristics were intentionally obscured.","Made available in DSpace on 2020-01-09T19:03:56Z (GMT). No. of bitstreams: 1
1000-1001.pdf: 136320 bytes, checksum: d1f7ef05e46696e77d282d8e3831cf0d (MD5)
  Previous issue date: 2006-06","Thompson, M. & Moher, T. (2006). Helio-Room: Problem Solving in a Whole Class Visual Simulation. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1000-1001). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3462","https://doi.dx.org/10.22318/icls2006.1000","en","International Society of the Learning Sciences","Helio-Room: Problem Solving in a Whole Class Visual Simulation","Posters"
"7157f9db-aa48-4335-9c47-f55503f76fa2","1/3461","Turner, Jeannine E.||Kim, ChanMin","2020-01-09T19:03:56Z","2019-05-20T02:44:35Z","2020-01-09T19:03:56Z","2019-05-20T02:44:35Z","2006-06","This study investigated the extent to which teachers' motivation and attitudes for professional development training facilitated their willingness to implement reform strategies. Teachers completed surveys prior to training and after receiving training. Analysis compared the responses of beginning teachers (new to the process) and advanced teachers (receiving advanced training). Advanced teachers showed that their instructional strategies and goals corresponded to the innovations at the start. At the end of the training, Beginning teachers gave positive ratings for the training and their emotions toward implementing the training. Introduction Researchers have suggested that potential adopters' attitudes toward an innovation should be considered for it's diffusion (e.g., Ellsworth, 2000). However, few studies have examined how to address this (Ertmer, Conklin, Lewandowski, Osika, Selo, &amp; Wignall, 2003). This study investigated the extent to which a professional development training, one that regards teachers' attitudes and beliefs as being important elements to consider when designing professional development, may facilitate teachers' willingness to adopt instructional ideals and strategies of the innovation. The professional development training in this study was Great Expectations (GE) in Oklahoma. As a whole-school reform model, primary objectives of the training is to instruct teachers on ways to increase students' knowledge, self-esteem, and social competencies while also focusing on instructional strategies that align with constructivist principles. For example, similar to research on exemplary teachers (e.g., Allington &amp; Johnston, 2002), model GE teachers are exceptional classroom managers because they establish and explain routines/procedures and they emphasize student self-regulation. In a high-implementation GE classroom, disciplinary actions are rarely observed. Additionally, GE teachers use instructional strategies that emphasize cross-curricular, meaningful lessons in which cooperation and effort are emphasized. Also similar to exemplary teachers, GE teachers express high expectations for their students' learning and carefully monitor their students' understanding (Turner &amp; Shapley, 2000). Perhaps most importantly, teachers' implementation of GE practices has been shown to positively and significantly affect students' achievement (Biscoe &amp; Harris, 2005). To accomplish these overall objectives, GE focuses on the transformation of teachers through. Evaluation results have shown that teachers who fully implement GE (Turner &amp; Shapley, 2000) exhibit instructional and relational behaviors that have been described as ""exemplary"" in excellent teachers. By examining differences between teachers with and without experience of the GE training, this study investigated possible effects of the GE training, for example, addressing the question, ""To what extent might model professional development training impact teachers' attitudes, motivation, and willingness to implement the training?"" Methodology Participants were 158 teachers enrolled in a week-long GE summer institute. Of the participants, 97 were taking basic GE Methodology courses (beginning teachers), and 61 were taking advanced GE courses (advanced teachers). Prior to the beginning of the training, participants were asked to complete the following surveys: Incentives for Training (i.e., Self-Improvement, External Approval, Mandatory Pressure); Instructional Strategies (Mastery Approaches, Performance Approaches; from PALS, Midgely et al., 2000), and emotions for attending training (e.g., positive emotions and negative emotions). Following the training, participants completed an evaluation survey. The current analysis is part of a larger study that focuses on changes in teachers' attitudes and behaviors over time. Results First, there were significant differences between beginning teachers and advanced teachers with respect to their incentives for attending the training. Advanced teachers gave themselves higher ratings with respect to being motivated to attend the training by self-improvement (t=-2.389, p&lt;.05), while beginning teachers gave themselves higher ratings for attending the training because of mandatory pressure (t=-2.389,","Made available in DSpace on 2020-01-09T19:03:56Z (GMT). No. of bitstreams: 1
1002-1003.pdf: 185957 bytes, checksum: 366af92cc66d984f5af73322d02117ad (MD5)
  Previous issue date: 2006-06","Turner, J. E. & Kim, C. (2006). Professional Development that Considers Teachers’ Attitudes toward an Innovation. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1002-1003). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3463","https://doi.dx.org/10.22318/icls2006.1002","en","International Society of the Learning Sciences","Professional Development that Considers Teachers’ Attitudes toward an Innovation","Posters"
"f7b6a9b6-fe34-4968-86b6-54352bebba61","1/3461","Underwood, Jody S.||Zapata, Diego||Hester, Waverely","2020-01-09T19:03:57Z","2019-05-20T02:44:36Z","2020-01-09T19:03:57Z","2019-05-20T02:44:36Z","2006-06","We present the results of research about teachers' use and understanding of assessment data, focusing on (a) questions they want answered, (b) their use of an instructional data management system, and (c) their reactions to a more teacher-friendly interface to the system that is designed to facilitate instruction.","Made available in DSpace on 2020-01-09T19:03:57Z (GMT). No. of bitstreams: 1
1004-1005.pdf: 118443 bytes, checksum: 55065bd192f8db6a7dbf6479c2a4e39a (MD5)
  Previous issue date: 2006-06","Underwood, J. S., Zapata, D., & Hester, W. (2006). A Teacher-friendly Interface To Assessment Data. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1004-1005). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3464","https://doi.dx.org/10.22318/icls2006.1004","en","International Society of the Learning Sciences","A Teacher-friendly Interface To Assessment Data","Posters"
"99e32b89-1535-4a1f-91fb-28c7e95a6359","1/3461","van de Sande, Carla","2020-01-09T19:03:57Z","2019-05-20T02:44:37Z","2020-01-09T19:03:57Z","2019-05-20T02:44:37Z","2006-06","Perspective theory, an extension and generalization of schema theory, adapts the notion of perspective from psycholinguistics to capture the cognitive and interactional creativity in reasoning and problem solving. This poster applies perspective theory to two problem solving episodes of classroom mathematical discourse. The episodes illustrate the negotiation of differing perspectives, participants' commitment to perspective and demonstrate how perspectival constructions can be interactively achieved. Characteristics of task and positioning may encourage participation in exploratory perspectival construction.","Made available in DSpace on 2020-01-09T19:03:57Z (GMT). No. of bitstreams: 1
1006-1007.pdf: 160078 bytes, checksum: f0c253aecaea998975ae516ce1ae0cd5 (MD5)
  Previous issue date: 2006-06","van de Sande, C. (2006). Perspectives and Problem Solving in an Algebra Classroom. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1006-1007). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3465","https://doi.dx.org/10.22318/icls2006.1006","en","International Society of the Learning Sciences","Perspectives and Problem Solving in an Algebra Classroom","Posters"
"3a426ce7-67aa-4426-95bb-49b4612066c6","1/3461","Wang, Kevin||McCaffrey, Corey||Wendel, Daniel||Klopfer, Eric","2020-01-09T19:03:58Z","2019-05-20T02:44:38Z","2020-01-09T19:03:58Z","2019-05-20T02:44:38Z","2006-06","Research on the effectiveness of using a block programming language with a three- dimensional environment and game design as the basis for curriculum to teach children concepts in Computer Science. We observed a lower barrier to entry and faster learning in seventh to ninth graders exposed to the new curriculum using StarLogo TNG.","Made available in DSpace on 2020-01-09T19:03:58Z (GMT). No. of bitstreams: 1
1008-1009.pdf: 184731 bytes, checksum: 409958d7f9ac0e395ff28ddcba16e1fc (MD5)
  Previous issue date: 2006-06","Wang, K., McCaffrey, C., Wendel, D., & Klopfer, E. (2006). 3D Game Design with Programming Blocks in StarLogo TNG. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1008-1009). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3466","https://doi.dx.org/10.22318/icls2006.1008","en","International Society of the Learning Sciences","3D Game Design with Programming Blocks in StarLogo TNG","Posters"
"b68fa479-6d9e-41bd-95aa-5b1b52e15de3","1/3461","Yew, Jude||Gibson, Faison||Teasley, Stephanie","2020-01-09T19:03:58Z","2019-05-20T02:44:39Z","2020-01-09T19:03:58Z","2019-05-20T02:44:39Z","2006-06","This research explores the use of Social Tagging as a means by which group knowledge is formed within a learning community. A study of an undergraduate Business School class that utilizes Social Tagging is undertaken to analyze the patterns and evolution of use of tags in order to make a case for Social Tagging as a viable means to visualize and facilitate group knowledge formation.","Made available in DSpace on 2020-01-09T19:03:58Z (GMT). No. of bitstreams: 1
1010-1011.pdf: 149540 bytes, checksum: 2decb1d547bd4c07cca021184040c4e7 (MD5)
  Previous issue date: 2006-06","Yew, J., Gibson, F., & Teasley, S. (2006). Learning by Tagging: Group Knowledge Formation in a Self-organizing Learning Community. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1010-1011). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3467","https://doi.dx.org/10.22318/icls2006.1010","en","International Society of the Learning Sciences","Learning by Tagging: Group Knowledge Formation in a Self-organizing Learning Community","Posters"
"dd342367-aca9-4a67-9e6f-271ee0e37c5b","1/3461","Zuiker, Steven J.||Hickey, Daniel T.","2020-01-09T19:03:58Z","2019-05-20T02:44:40Z","2020-01-09T19:03:58Z","2019-05-20T02:44:40Z","2006-06","The range of assessment follows from theoretical assumptions that represent skills and concepts differently, and increasingly wrestle with representations of practices. A pragmatic strategy for coordinating and leveraging these differences may provide degrees of continuity across each, and scaffold both individual performance and collective participation in domain practices. This poster profiles a case study of (dis)continuity across one such pragmatic organization of assessment. Findings suggest methodological limits for illuminating discontinuity and a more tractable approach.","Made available in DSpace on 2020-01-09T19:03:58Z (GMT). No. of bitstreams: 1
1012-1013.pdf: 155027 bytes, checksum: 1f63e62e90b360faa2bfaaad3272371a (MD5)
  Previous issue date: 2006-06","Zuiker, S. J. & Hickey, D. T. (2006). A Multi-level Assessment Strategy: (Dis)Continuity in Making Learning Visible Differently. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1012-1013). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3468","https://doi.dx.org/10.22318/icls2006.1012","en","International Society of the Learning Sciences","A Multi-level Assessment Strategy: (Dis)Continuity in Making Learning Visible Differently","Posters"
"3104977b-e953-4c9a-9930-ca8ef84ff53a","1/3461","Abrahamson, Dor||diSessa, Andrea A.||Blikstein, Paulo||Wilensky, Uri||Uttal, David H.||Amaya, Meredith M.||Marulis, Loren M.||Collins, Allan M.","2020-01-09T19:03:58Z","2019-05-20T02:44:42Z","2020-01-09T19:03:58Z","2019-05-20T02:44:42Z","2006-06","Four papers by learning scientists engaged either in design research or cognitive- developmental studies consider concreteness, context, content, pedagogy, and situativity and their implications for design that fosters opportunities for students to learn subject matter through experiencing authentic scientific/mathematical inquiry. The authors furnish both theoretical considerations and recent classroom- and laboratory-based empirical findings to question prior interpretations of students' capacity to model and abstract from situations, to generate examples, to transfer, and to make insightful connections. The papers jointly suggest that even simple objects may nevertheless undergird emergent situativity that provides sufficient context to which learners can bring diverse personal resources. Model-based design may be as intellectually honest, culturally respectful, cognitively generative, and scientifically/mathematically authentic as learning that draws more directly on students' out-of-school resources. The authenticity of `authentic inquiry' may depend more on engagement and reasoning it enables than on specific content and a priori ""good-science"" practices it recruits.","Made available in DSpace on 2020-01-09T19:03:58Z (GMT). No. of bitstreams: 1
1015-1021.pdf: 425456 bytes, checksum: 6bff3cb0bfae6fedbf62b89a699e1485 (MD5)
  Previous issue date: 2006-06","Abrahamson, D., diSessa, A. A., Blikstein, P., Wilensky, U., Uttal, D. H., Amaya, M. M., Marulis, L. M., & Collins, A. M. (2006). What’s a Situation in Situated Cognition? – A Constructionist Critique of Authentic Inquiry. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1015-1021). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3469","https://doi.dx.org/10.22318/icls2006.1015","en","International Society of the Learning Sciences","What’s a Situation in Situated Cognition? – A Constructionist Critique of Authentic Inquiry","Symposia"
"3e2ee747-87bd-4c3e-9f6e-d23da3262e81","1/3461","Barron, Brigid||Kafai, Yasmin B.||Joseph, Diana||Pinkard, Nicole||Resnick, Mitchell||Martin, Caitlin||Schatz, Colin||Shapiro, Benjamin||Millner, Amon||Peppler, Kylie||Chiu, Grace||Desai, Shiu","2020-01-09T19:03:59Z","2019-05-20T02:44:43Z","2020-01-09T19:03:59Z","2019-05-20T02:44:43Z","2006-06","The goal of this session is to advance our understanding of the relationships between access to computing tools, learning opportunities, and the development of technological fluency. Understanding variability in the kinds of material and social resources that children have access to is crucial for a better understanding of how to create more equitable learning opportunities. Overview talks of three research programs and their theoretical frameworks will start this session. A poster session will follow that showcases nine empirical or design projects that have emerged from the research programs. In keeping with the conference theme, the overview presentations and empirical work highlight how learning to use technology in empowered ways can be nurtured within and across a broad range of contexts.","Made available in DSpace on 2020-01-09T19:03:59Z (GMT). No. of bitstreams: 1
1022-1028.pdf: 173571 bytes, checksum: d9c9145cc996c0d4cd6a88263029d217 (MD5)
  Previous issue date: 2006-06","Barron, B., Kafai, Y. B., Joseph, D., Pinkard, N., Resnick, M., Martin, C., Schatz, C., Shapiro, B., Millner, A., Peppler, K., Chiu, G., & Desai, S. (2006). Clubs, Homes, and Online Communities as Contexts for Engaging Youth in Technological Fluency Building Activities. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1022-1028). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3470","https://doi.dx.org/10.22318/icls2006.1022","en","International Society of the Learning Sciences","Clubs, Homes, and Online Communities as Contexts for Engaging Youth in Technological Fluency Building Activities","Symposia"
"caf3ddeb-eaa9-4fd4-b5c9-f7d5fa71f1d9","1/3461","Bell, Philip||Bricker, Leah A.||Lee, Tiffany R.||Reeve, Suzanne||Zimmerman, Heather Toomey","2020-01-09T19:03:59Z","2019-05-20T02:44:44Z","2020-01-09T19:03:59Z","2019-05-20T02:44:44Z","2006-06","This session explores the cultural foundations of children's knowledge of the living world. Cognitive research on students' conceptual understandings has overly relied upon sequestered tasks and structured interviews; we argue that participant observation can provide insight into important particulars of everyday life to answer fundamental questions about the nature of children's learning of biology. These papers report on studies of the everyday cultural and social contexts in which children's informal ideas about the living world develop and are applied. The research employs a learner-centered focus and a cognitive ethnographic approach to explore children's knowledge as they utilize it in their homes, at school, and in an interactive science center. Research focuses on personally consequential biology topics including health, nutrition, and ecology. The papers report on the cultural experiences that shape children's biological knowledge and decision-making, similarities and differences between cultural groups, and implications for coordinating home and school experiences.","Made available in DSpace on 2020-01-09T19:03:59Z (GMT). No. of bitstreams: 1
1029-1035.pdf: 180306 bytes, checksum: e7f8c9d7545987292622c8e62201d230 (MD5)
  Previous issue date: 2006-06","Bell, P., Bricker, L. A., Lee, T. R., Reeve, S., & Zimmerman, H. T. (2006). Understanding the Cultural Foundations of Children's Biological Knowledge: Insights from Everyday Cognition Research. In Barab, S. A., Hay, K. E., & Hickey, D. T. (Eds.), The International Conference of the Learning Sciences: Indiana University 2006. Proceedings of ICLS 2006, Volume 2 (pp. 1029-1035). Bloomington, Indiana, USA: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/3471","https://doi.dx.org/10.22318/icls2006.1029","en","International Society of the Learning Sciences","Understanding the Cultural Foundations of Children's Biological Knowledge: Insights from Everyday Cognition Research","Symposia"
