id,collection,dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en_US],dc.publisher[en_US],dc.title[en_US],dc.type[en_US]
"6b57b772-43f5-484a-ad6d-94970052e664","1/98",,"Rummel, Nikol||Mavrikis, Manolis||Wiedmann, Michael||Loibl, Katharina||Mazziotti, Claudia||Holmes, Wayne||Hansen, Alice","2017-05-27T14:29:38Z","2017-03-21T12:05:42Z","2017-05-27T14:29:38Z","2017-03-21T12:05:42Z",,"2016-07","Robust domain knowledge consists of conceptual and procedural knowledge. The two types of knowledge develop together, but are fostered by different learning tasks. Exploratory tasks enable students to manipulate representations and discover the underlying concepts. Structured tasks let students practice problem-solving procedures step-by-step. Educational technology has mostly relied on providing only either task type, with a majority of learning environments focusing on structured tasks. We investigated in two quasi-experimental studies with 8-10 years old students from UK (N = 121) and 10-12 years old students from Germany (N = 151) whether a combination of both task types fosters robust knowledge more than structured tasks alone. Results confirmed this hypothesis and indicate that students learning with a combination of tasks gained more conceptual knowledge and equal procedural knowledge compared to students learning with structured tasks only. The results illustrate the efficacy of combining both task types for fostering robust fractions knowledge.","Made available in DSpace on 2017-05-27T14:29:38Z (GMT). No. of bitstreams: 1
10.pdf: 323765 bytes, checksum: adad9b0ef30e3929491ea09f8a03c5d1 (MD5)
  Previous issue date: 2016-07","Rummel, N., Mavrikis, M., Wiedmann, M., Loibl, K., Mazziotti, C., Holmes, W., & Hansen, A. (2016). Combining Exploratory Learning With Structured Practice to Foster Conceptual and Procedural Fractions Knowledge In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/99","https://dx.doi.org/10.22318/icls2016.10","en","Singapore: International Society of the Learning Sciences","Combining Exploratory Learning With Structured Practice to Foster Conceptual and Procedural Fractions Knowledge","Book chapter"
"355a9429-43ad-4018-9e22-4d5adc654710","1/98",,"Sun, Zhiru||Lu, Lin||Xie, Kui","2017-05-27T14:29:39Z","2017-03-21T12:05:42Z","2017-05-27T14:29:39Z","2017-03-21T12:05:42Z",,"2016-07","The flipped classroom is a unique instructional model with in-class activities being heavily dependent on pre-class learning engagement. Practitioners and researchers have well recognized the critical role of the pre-class learning on students’ performance in the flipped class. However, little research has investigated how students learn in the pre-class setting and what factors can help students improve their pre-class learning. Based upon the self-regulated learning theory, this study used both survey research and learning analytics methods to uncover students’ performance trajectories of a semester in two flipped undergraduate math courses and examined whether the three key self-regulated learning factors – self-efficacy, the use of metacognitive strategy, and self-regulatory behaviors – were significantly different across different performance trajectories. The results revealed six different performance trajectories among students and found significant differences across these trajectories in terms of the three self-regulatory factors.","Made available in DSpace on 2017-05-27T14:29:39Z (GMT). No. of bitstreams: 1
11.pdf: 393011 bytes, checksum: 04e6575f92c610984caee2286c536923 (MD5)
  Previous issue date: 2016-07","Sun, Z., Lu, L., & Xie, K. (2016). The Effects of Self-Regulated Learning on Students’ Performance Trajectory in the Flipped Math Classroom In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/100","https://dx.doi.org/10.22318/icls2016.11","en","Singapore: International Society of the Learning Sciences","The Effects of Self-Regulated Learning on Students’ Performance Trajectory in the Flipped Math Classroom","Book chapter"
"67a1bff9-6af1-4bbe-8341-9147f970fd1f","1/98",,"Prinsen, Fleur R.","2017-05-27T14:29:40Z","2017-03-21T12:05:42Z","2017-05-27T14:29:40Z","2017-03-21T12:05:42Z",,"2016-07","Inquiry Based Learning (IBL) provides learners with an authentic learning challenge and valuable opportunities to improve their scientific domain knowledge, while expanding their repertoire of creative skills and attitudes. But mastering the “what”, “why” and “how” of the cultural tools that science employs, and appropriating the structures and systems designed to enculturate them into communities of inquiry is no easy feat. Taking a practice perspective on IBL can illuminate some challenges that teachers, students and educational designers encounter, and may help researchers operationalize important variables, capturing the complexity of this learning practice. A new definition of IBL will be unpacked showing the added value of regarding it as a practice. This will inform first and foremost the pedagogical design approach, but will also hold implications for methods of research. The feasibility of the ambition to enculturate learners into an authentic practice, providing them with transferrable skills, will be discussed.","Made available in DSpace on 2017-05-27T14:29:40Z (GMT). No. of bitstreams: 1
12.pdf: 276950 bytes, checksum: fcf57d03b7cc802b58b80448b41a6e00 (MD5)
  Previous issue date: 2016-07","Prinsen, F. R. (2016). Supporting Inquiry Learning as a Practice: A Practice Perspective on the Challenges of IBL Design, Implementation and Research Methodology In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/101","https://dx.doi.org/10.22318/icls2016.12","en","Singapore: International Society of the Learning Sciences","Supporting Inquiry Learning as a Practice: A Practice Perspective on the Challenges of IBL Design, Implementation and Research Methodology","Book chapter"
"ffb3f9f6-7d6d-4ece-93f1-811e95f6c500","1/98",,"Arvidsson, Toi Sin||Kuhn, Deanna","2017-05-27T14:29:41Z","2017-03-21T12:05:42Z","2017-05-27T14:29:41Z","2017-03-21T12:05:42Z",,"2016-07","Our objective was to engage low-achieving young adolescents in activities introducing them to practices of science. These extended beyond control of variables to include attribution and prediction in coordination of multiple variables affecting an outcome, as well as argument and counterargument in advancing and challenging claims.  Social science content was used to help students see the purpose and value of scientific practices. The objective was largely met, as evidenced by two 6th grade classes (n = 49), both outperforming a control group (n = 23). Although students engaged successfully in argument and counterargument, less successful was meta-level reasoning about argumentation and nature of science. Importantly in its practical implications, one intervention group showed less gain in 10 45-min whole-class sessions than did the other group who engaged as pairs in the same sequence of activities over an average of six 24-min individualized sessions, suggesting the greater efficacy of individualized engagement.","Made available in DSpace on 2017-05-27T14:29:41Z (GMT). No. of bitstreams: 1
13.pdf: 261596 bytes, checksum: 33e89d1c99599e7a8822bc6fcb9c1937 (MD5)
  Previous issue date: 2016-07","Arvidsson, T. S. & Kuhn, D. (2016). Introducing Academically Low-Performing Young Science Students to Practices of Science In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/102","https://dx.doi.org/10.22318/icls2016.13","en","Singapore: International Society of the Learning Sciences","Introducing Academically Low-Performing Young Science Students to Practices of Science","Book chapter"
"df8f209f-a8df-43d3-b80e-677cbf94a597","1/98",,"Lee, Vwen Yen Alwyn||Tan, Seng Chee||Chee, Joon Kit Kelvin","2017-05-27T14:29:42Z","2017-03-21T12:05:42Z","2017-05-27T14:29:42Z","2017-03-21T12:05:42Z",,"2016-07","This is a study on the identification and analysis of promising ideas, which examines the knowledge building discourse of 20 students within Knowledge Forum, through the I2A system in a mixed method approach. It is a challenge in providing support to maintain efforts in identifying and improving ideas, which this study addresses through visualization and step-wise analysis of discourse network measures that are calculated using the Knowledge Building Discourse Explorer. By using Social Network Analysis with chosen keywords and analyzing quality of notes, we are able to identify and trace the evolvement of ideas that become promising talking points within the discourse space. Findings show that ideas can be classified and further analyzed to have an impact on subsequent discourse. Teachers can focus their resources on promising ideas that help the community maintain engagement in creative work to improve ideas, so as to learn more effectively and attain knowledge creation goals.","Made available in DSpace on 2017-05-27T14:29:42Z (GMT). No. of bitstreams: 1
14.pdf: 308284 bytes, checksum: d997fdb291cfdb0a327e34a678575cb6 (MD5)
  Previous issue date: 2016-07","Lee, V. Y., Tan, S. C., & Chee, J. K. (2016). Idea Identification and Analysis (I2A): A Search for Sustainable Promising Ideas Within Knowledge-Building Discourse In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/103","https://dx.doi.org/10.22318/icls2016.14","en","Singapore: International Society of the Learning Sciences","Idea Identification and Analysis (I2A): A Search for Sustainable Promising Ideas Within Knowledge-Building Discourse","Book chapter"
"ca28f0f6-8605-4092-8067-5504348dda96","1/98",,"Margulieux, Lauren E.||Morrison, Briana B.||Guzdial, Mark||Catrambone, Richard","2017-05-27T14:29:42Z","2017-03-21T12:05:42Z","2017-05-27T14:29:42Z","2017-03-21T12:05:42Z",,"2016-07","In this experiment, we integrated two learning methods – subgoal learning and constructive learning – to explore their interactions and effects on solving computer programming problems. We taught learners to solve problems using worked example and practice problem pairs with one of three kinds of instructional design that either did not highlight the subgoals, described the subgoals, or prompted participants to describe the subgoals for themselves. In addition, we varied the distance of transfer between the worked example and practice problem pairs. We found that instructions that highlighted subgoals improved performance on later problem solving tasks. The groups that performed best were those that received subgoal descriptions with farther transfer between examples and practice problems and those that described subgoals for themselves with nearer transfer.","Made available in DSpace on 2017-05-27T14:29:42Z (GMT). No. of bitstreams: 1
15.pdf: 292283 bytes, checksum: 22727bf04bc0881d15a9c3999715e61b (MD5)
  Previous issue date: 2016-07","Margulieux, L. E., Morrison, B. B., Guzdial, M., & Catrambone, R. (2016). Training Learners to Self-Explain: Designing Instructions and Examples to Improve Problem Solving In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/104","https://dx.doi.org/10.22318/icls2016.15","en","Singapore: International Society of the Learning Sciences","Training Learners to Self-Explain: Designing Instructions and Examples to Improve Problem Solving","Book chapter"
"c181fe1d-8061-4fe0-a2ed-3f7b1ad0212f","1/98",,"Yoon, Susan A.||Koehler-Yom, Jessica||Anderson, Emma||Evans, Chad","2017-05-27T14:29:43Z","2017-03-21T12:05:42Z","2017-05-27T14:29:43Z","2017-03-21T12:05:42Z",,"2016-07","The success of the Next Generation Science Standards (NGSS) and similar reforms is contingent upon the quality of teaching, yet the shifts in teaching practice required are substantial. In this study, we propose and validate a model of adaptive expertise needed for teachers to successfully deliver NGSS-informed computer supported complex systems curricula in high school science classrooms. The model is comprised of three research-based qualities that we hypothesize teachers need to demonstrate: flexibility, deeper level understanding, and deliberate practice, in adapting interventions to their particular teaching contexts. We apply the model to understand whether it can, a) show variation between teachers, and b) predict student-learning outcomes. Results show that teacher enactments and interview responses assessed on the model reveal sufficient variation, and are also predictive of students’ growth in complex systems understanding. The model has important implications for how to support teachers in adopting new science education reforms.","Made available in DSpace on 2017-05-27T14:29:43Z (GMT). No. of bitstreams: 1
16.pdf: 292523 bytes, checksum: b69c4946b8c8bb8acf1980728494af48 (MD5)
  Previous issue date: 2016-07","Yoon, S. A., Koehler-Yom, J., Anderson, E., & Evans, C. (2016). Validating a Model for Assessing Teacher’s Adaptive Expertise With Computer Supported Complex Systems Curricula and Its Relationship to Student Learning Outcomes In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/105","https://dx.doi.org/10.22318/icls2016.16","en","Singapore: International Society of the Learning Sciences","Validating a Model for Assessing Teacher’s Adaptive Expertise With Computer Supported Complex Systems Curricula and Its Relationship to Student Learning Outcomes","Book chapter"
"11af7d83-259d-4867-8cff-f1f6770ab40f","1/98",,"Yoon, Susan A.||Hmelo-Silver, Cindy E.","2017-05-27T14:29:43Z","2017-03-21T12:05:42Z","2017-05-27T14:29:43Z","2017-03-21T12:05:42Z",,"2016-07","This study responds to an often asked question, what do learning scientists do? Earlier attempts to answer this question came from a need to define a new field of educational research. However, as we have grown into a robust and highly productive society, self-referential methods for describing the membership is prudent to gain a more accurate understanding of where, for whom, and what kinds of learning sciences research and practices take place. Here we report on the responses of 253 ISLS members from a survey conducted in 2014. We discuss implications of the findings in terms of the types of impact learning scientists have, how we might use these results for advising prospective students, and ways that we might use this to create our future.","Made available in DSpace on 2017-05-27T14:29:43Z (GMT). No. of bitstreams: 1
17.pdf: 637826 bytes, checksum: 78cc209718aa22a08e2bea6f9e2425e3 (MD5)
  Previous issue date: 2016-07","Yoon, S. A. & Hmelo-Silver, C. E. (2016). What Do Learning Scientists Do? A Survey of the ISLS Membership In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/106","https://dx.doi.org/10.22318/icls2016.17","en","Singapore: International Society of the Learning Sciences","What Do Learning Scientists Do? A Survey of the ISLS Membership","Book chapter"
"a062e9d5-e161-4fb3-a11a-ad17bf1eaa7a","1/98",,"Flood, Virginia J.||Harrer, Benedikt W.||Abrahamson, Dor","2017-05-27T14:29:44Z","2017-03-21T12:05:42Z","2017-05-27T14:29:44Z","2017-03-21T12:05:42Z",,"2016-07","We present a detailed account of interactional mechanisms that support participation in STEM disciplinary practices as an adult and a child explore a technology-enabled embodied learning environment for mathematics. Drawing on ethnomethodological studies of technology-rich workplaces, we trace the process of transforming a vague reference into a mutually available mathematical object: a covariant variable. Our analysis reveals that this mathematical object is an interactional achievement, configured via a reciprocal process of instructing one another’s attention. In particular, we demonstrate how participants’ explicit responsiveness to indexical and multimodal resources achieves this object.","Made available in DSpace on 2017-05-27T14:29:44Z (GMT). No. of bitstreams: 1
18.pdf: 418431 bytes, checksum: 52de09682959191f13457c14ae2ef150 (MD5)
  Previous issue date: 2016-07","Flood, V. J., Harrer, B. W., & Abrahamson, D. (2016). The Interactional Work of Configuring a Mathematical Object in a Technology-Enabled Embodied Learning Environment In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/107","https://dx.doi.org/10.22318/icls2016.18","en","Singapore: International Society of the Learning Sciences","The Interactional Work of Configuring a Mathematical Object in a Technology-Enabled Embodied Learning Environment","Book chapter"
"a1c5a787-a6f9-4f51-a687-1bc588ec2dc5","1/98",,"Rehak, Andi M.||Gomoll, Andrea S.||Hmelo-Silver, Cindy E.||Danish, Joshua A.","2017-05-27T14:29:44Z","2017-03-21T12:05:42Z","2017-05-27T14:29:44Z","2017-03-21T12:05:42Z",,"2016-07","Effective teachers are constantly adapting their classroom practice to best meet students’ needs. However, it is difficult to adapt one’s teaching practices without first noticing the key features of classroom activity. This kind of noticing—professional vision—is   a cultivated skill that requires a combination of understanding theory and experience with practice. When theory-practice connections are not strong, teachers tend to fall back on “what works.” Demands to support pre-service teachers in developing stronger theory-practice connections are increasing, yet this remains a challenging goal. The qualitative analysis presented in this paper offers insight into how creation of multimedia artifacts can support pre-service teachers in connecting theory to practice while developing their professional vision. Findings suggest the process of creating and collaboratively refining multimedia artifacts in small groups improves pre-service teachers’ ability to make theory-practice connections and provides opportunity for them to exercise their emerging professional vision.","Made available in DSpace on 2017-05-27T14:29:44Z (GMT). No. of bitstreams: 1
19.pdf: 271465 bytes, checksum: 2d6ec70ffdff23cc8e87fa545e8ad313 (MD5)
  Previous issue date: 2016-07","Rehak, A. M., Gomoll, A. S., Hmelo-Silver, C. E., & Danish, J. A. (2016). Developing Pre-Service Teachers’ Professional Vision Through Collaborative Multimedia Artifacts In Looi, C. K., Polman, J. L., Cress, U., and Reimann, P. (Eds.). Transforming Learning, Empowering Learners: The International Conference of the Learning Sciences (ICLS) 2016, Volume 1. Singapore: International Society of the Learning Sciences.","https://repository.isls.org/handle/1/108","https://dx.doi.org/10.22318/icls2016.19","en","Singapore: International Society of the Learning Sciences","Developing Pre-Service Teachers’ Professional Vision Through Collaborative Multimedia Artifacts","Book chapter"
