id,collection,dc.contributor.author,dc.contributor.author[],dc.coverage.spatial[en_US],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.format.extent,dc.format.extent[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso,dc.language.iso[],dc.publisher[en_US],dc.relation.ispartof[en_US],dc.subject[en_US],dc.title[en_US],dc.type[en_US]
"6915076c-8456-4fdb-8d02-6ddbc20a3a82","1/7295",,"Barany, Amanda||Wang, Yeyu||Williamson, David||Foster, Aroutis","Bochum, Germany","2021-10-09T19:46:24Z","2021-10-09T15:44:05Z","2021-10-09T19:46:24Z","2021-10-09T15:44:05Z",,"2021-06","This paper reports outcomes of 57 students’ exploration of urban planning and environmental science identities through Virtual City Planning, a course implemented in a science museum that leveraged a virtual learning environment supported by in-class play-based experiences. Identity exploration trajectories were assessed using the Projective Reflection framework, which consists of constructs that capture cognitive, affective, and behavioral features of the self in addition to learners’ self-perceptions and definitions. Researchers constructed a parsimonious epistemic network that was supported by in-depth qualitative interpretations to a) visualize students’ general trends of student self-reflection across the course experience and b) highlight which Projective Reflection constructs were highly nascent to participants as they engaged in identity exploration. Results further theoretical understandings of how courses designed to support identity exploration influence the sophistication and content of learners’ reflections on the self and illustrate the utility of epistemic networks for visualizing identity exploration trajectories over time","Made available in DSpace on 2021-10-09T19:46:24Z (GMT). No. of bitstreams: 1
107-114.pdf: 431888 bytes, checksum: 3aa4245554178dffedc10e4a558c61b5 (MD5)
  Previous issue date: 2021-06",,"pp. 107-114","Barany, A., Wang, Y., Williamson, D., & Foster, A. (2021). Who I Am, What I Know, and What I Want: An Epistemic Network Analysis of Student Identity Exploration. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 107-114). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7296","https://doi.dx.org/10.22318/cscl2021.107",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Who I Am, What I Know, and What I Want: An Epistemic Network Analysis of Student Identity Exploration","Conference Paper||Long Paper"
"fd739065-86a7-4253-8fc7-66f39db69b47","1/7295",,"Winograd, Blair A.||Dood, Amber J.||Finkenstaedt-Quinn, Solaire A.||Gere, Anne R.||Shultz, Ginger V.","Bochum, Germany","2021-10-09T19:46:24Z","2021-10-09T15:44:05Z","2021-10-09T19:46:24Z","2021-10-09T15:44:05Z",,"2021-06","While writing-to-learn (WTL) pedagogies are a promising way for students to construct knowledge, one limiting factor to implementation is time the instructor spends grading. We conducted two WTL assignments in two undergraduate general chemistry courses combined with collaborative peer review.  We used a previously developed scheme to classify peer review comments generated by 1,732 students enrolled in two undergraduate chemistry courses as praise, problem/solution, and verification/summary. Problem/solution comments were further separated into greater-level, mid-level, and word-sentence descriptors. Using the SciBERT language model we then developed a classifier which accurately identifies      comments where human coding was considered the ground truth. In the future, this model can provide an efficient way for instructors to monitor peer review collaborations and help instructors use peer-generated insights to guide their instruction.","Made available in DSpace on 2021-10-09T19:46:24Z (GMT). No. of bitstreams: 1
11-18.pdf: 502332 bytes, checksum: 18b6f1ea1e5704413dcc8d4ab0ae7393 (MD5)
  Previous issue date: 2021-06",,"pp. 11-18","Winograd, B. A., Dood, A. J., Finkenstaedt-Quinn, S. A., Gere, A. R., & Shultz, G. V. (2021). Automating Characterization of Peer Review Comments in Chemistry Courses. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 11-18). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7297","https://doi.dx.org/10.22318/cscl2021.11",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Automating Characterization of Peer Review Comments in Chemistry Courses","Conference Paper||Long Paper"
"c4389f73-ff52-4b3d-85be-440a55f3db98","1/7295",,"Yuan, Guangji||Zhang, Jianwei||Chen, Mei-Hwa","Bochum, Germany","2021-10-09T19:46:24Z","2021-10-09T15:44:05Z","2021-10-09T19:46:24Z","2021-10-09T15:44:05Z",,"2021-06","Enabling collaborative interaction across social levels over longer timescales represents a key research challenge in computer-supported collaborative learning (CSCL). This study investigates a multi-layer interaction approach to cross-community knowledge building supported by the design of Idea Thread Mapper (ITM).  A design-based research study was conducted in four Grade 5 classrooms that studied human body systems over six months. ITM was used to support student knowledge building discourse in each classroom and cross-classroom interaction in a shared meta-space focused on a cross-cutting challenging problem: How do people grow? Multi-level discourse analysis traced students’ collective idea development in the cross-classroom discourse that built on the diverse lines of inquiry developed within each classroom. The findings contribute new understandings and designs for expanding CSCL practices across networks of classrooms, enabling a larger creative context for students’ ever-deepening work with ideas.","Made available in DSpace on 2021-10-09T19:46:24Z (GMT). No. of bitstreams: 1
115-122.pdf: 602361 bytes, checksum: 508a0437ee229e45987df3083f6b9416 (MD5)
  Previous issue date: 2021-06",,"pp. 115-122","Yuan, G., Zhang, J., & Chen, M. (2021). Using Idea Thread Mapper to Support Cross-Classroom “Super Talk” among Four Grade 5 Knowledge Building Communities. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 115-122). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7298","https://doi.dx.org/10.22318/cscl2021.115",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Using Idea Thread Mapper to Support Cross-Classroom “Super Talk” among Four Grade 5 Knowledge Building Communities","Conference Paper||Long Paper"
"f5dfaf1d-01e2-4c73-988c-2679955b8565","1/7295",,"Li, Yanhong||Sommerhoff, Daniel||Ufer, Stefan||Slotta, James D.","Bochum, Germany","2021-10-09T19:46:25Z","2021-10-09T15:44:05Z","2021-10-09T19:46:25Z","2021-10-09T15:44:05Z",,"2021-06","Building on research concerned with scripting and learning communities, this study explored how to script small group processes within a larger community-wide script. Small group scripts, Peer Instruction (PI), Community Supported Worksheets (CSW), and Community Knowledge Construction (CKC), were designed and implemented in an online preparatory mathematics course for 181 freshmen. The completion rate and completion quality of group activities were analyzed. Except for CKC activities, PI and CSW had a satisfactory completion quality. We analyzed the impact of group activities on students’ epistemological beliefs about learning communities, and also performed content analyses of students’ ideas and artifacts, to show the reciprocal influence between the community and small groups. Results show students had a significant agreement that the whole community is an important source for learning. Meanwhile, after taking this course, they had a more profound conceptual understanding of the context, purpose, means, and challenges of the learning community.","Made available in DSpace on 2021-10-09T19:46:25Z (GMT). No. of bitstreams: 1
123-130.pdf: 461830 bytes, checksum: f8c5724acd9e9b486fb56d75f7666a60 (MD5)
  Previous issue date: 2021-06",,"pp. 123-130","Li, Y., Sommerhoff, D., Ufer, S., & Slotta, J. D. (2021). Scripting Small Group Processes within a Learning Community. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 123-130). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7299","https://doi.dx.org/10.22318/cscl2021.123",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Scripting Small Group Processes within a Learning Community","Conference Paper||Long Paper"
"26070a20-be15-45de-81e3-2a1a5b888392","1/7295",,"Aldemir, Tugce||Borge, Marcela||Xia, Yu","Bochum, Germany","2021-10-09T19:46:25Z","2021-10-09T15:44:05Z","2021-10-09T19:46:25Z","2021-10-09T15:44:05Z",,"2021-06","Our increasingly diverse society requires learners to develop cultural competencies in a way that they could form relationships across differences. Current educational efforts to support these competencies are either marginalized or demand long-term investments. Thus, as the first step of our long-term efforts to design pedagogical tools for modeling productive intergroup dialogues in CSCL, in this study, we explored the facilitation strategies groups implemented to coordinate the group’s content sense-making around sensitive topics such as race, gender, sexual orientation, and oppression in a CSCL context. We collected and analyzed the discussion transcripts of the 13 groups across two sessions and identified four facilitation strategies and cognitive and emotional behaviors associated with these strategies.","Made available in DSpace on 2021-10-09T19:46:25Z (GMT). No. of bitstreams: 1
131-138.pdf: 367027 bytes, checksum: 1d7fddbcbdd1f71ae605ddaa17eb20ca (MD5)
  Previous issue date: 2021-06",,"pp. 131-138","Aldemir, T., Borge, M., & Xia, Y. (2021). Exploration of Facilitation Strategies for Intergroup Dialogues in a CSCL Context. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 131-138). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7300","https://doi.dx.org/10.22318/cscl2021.131",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Exploration of Facilitation Strategies for Intergroup Dialogues in a CSCL Context","Conference Paper||Long Paper"
"2c9c1946-e0dc-46c5-91e8-459267a759c9","1/7295",,"Avry, Sunny||Molinari, Gaëlle","Bochum, Germany","2021-10-09T19:46:25Z","2021-10-09T15:44:05Z","2021-10-09T19:46:25Z","2021-10-09T15:44:05Z",,"2021-06","The role of emotions in (computer-supported) collaborative learning has gained increasing attention. Self and others’ emotions and their consequences are crucial in social interactions but may be overlooked during collaborative problem-solving, as group members may highly focus on the processing of task information. Therefore, some authors have suggested that collaboration can benefit from explicit mutual sharing of emotions. However, other authors also argue that the beneficial effects of emotion sharing depend on the individuals’ dispositions to use emotions to change behaviors. This study explores how these two aspects influence how group members perceive their relationship during collaborative problem-solving. Results show that people with lower dispositions to regulate emotions improve their perception of equality, receptivity and productivity when they share emotions explicitly.","Made available in DSpace on 2021-10-09T19:46:25Z (GMT). No. of bitstreams: 1
141-144.pdf: 312174 bytes, checksum: 21b0a0bc5a0b7408a76571a662a80462 (MD5)
  Previous issue date: 2021-06",,"pp. 141-144","Avry, S. & Molinari, G. (2021). Explicit Sharing of Emotions Improves the Relationship of Groups with Lower Dispositions to 
Regulate Emotions in Collaborative Problem-Solving
. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 141-144). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7301","https://doi.dx.org/10.22318/cscl2021.141",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Explicit Sharing of Emotions Improves the Relationship of Groups with Lower Dispositions to 
Regulate Emotions in Collaborative Problem-Solving","Conference Paper||Short Paper"
"db6af878-3701-403d-ac51-fddfd72cbdc1","1/7295",,"McGrew, Sarah||Glass, Alex C.","Bochum, Germany","2021-10-09T19:46:25Z","2021-10-09T15:44:06Z","2021-10-09T19:46:25Z","2021-10-09T15:44:06Z",,"2021-06","Young people often rely on search engines to find news or answer questions, yet research suggests that they need more support to learn to effectively navigate search results. We present findings from an intervention study in which one lesson focused on teaching students to evaluate search results and select websites to open. Findings suggest that, although teachers attempted to teach strategies for evaluating results modeled on fact checkers’ approaches, students often fell back on less robust strategies: they used their familiarity with a website and a website’s top-level domain to judge its trustworthiness. Our findings suggest avenues for further supporting young people to build effective strategies for navigating search results.","Made available in DSpace on 2021-10-09T19:46:25Z (GMT). No. of bitstreams: 1
145-148.pdf: 264854 bytes, checksum: 2b698b0b5c6c07a54c5c0f852eec623b (MD5)
  Previous issue date: 2021-06",,"pp. 145-148","McGrew, S. & Glass, A. C. (2021). Click Restraint: Teaching Students to Analyze Search Results. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 145-148). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7302","https://doi.dx.org/10.22318/cscl2021.145",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Click Restraint: Teaching Students to Analyze Search Results","Conference Paper||Short Paper"
"fbdbea52-fa30-4aec-9e1e-b03b5ce1778f","1/7295",,"Hayashi, Yugo||Shimojo, Shigen","Bochum, Germany","2021-10-09T19:46:26Z","2021-10-09T15:44:06Z","2021-10-09T19:46:26Z","2021-10-09T15:44:06Z",,"2021-06","In this study, we investigated dyads gaze behavior from an educational dataset on collaborative learning which used a learning support system which provided facilitation prompts. By using two eye-trackers, this study focused on (1) how the prompts influenced a reconsideration of prior knowledge and (2) the degree of perspective-taking. To investigate these points, this study considered two learning dyads working on a jigsaw-like task, wherein leaners explained a psychological theory by generating a concept map. The learners worked by showing each other's concept map prior to the task. Two eye-trackers were used to analyze how dyads looked at each other's concept map. The results show that learners receiving facilitation prompts exhibited the gaze behavior of reconsidering each other's concept map while making explanations. Additionally, learners who were using prompts when giving argumentative and conflicting suggestions exhibited a higher tendency to take other's different perspectives.","Made available in DSpace on 2021-10-09T19:46:26Z (GMT). No. of bitstreams: 1
149-152.pdf: 371996 bytes, checksum: 451f9d591e3b420d488cee09b08d3df1 (MD5)
  Previous issue date: 2021-06",,"pp. 149-152","Hayashi, Y. & Shimojo, S. (2021). Investigating Gaze Behavior of Dyads in a Collaborative Explanation Task using a Concept Map: 
Influence of Facilitation Prompts on Perspective Taking
. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 149-152). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7303","https://doi.dx.org/10.22318/cscl2021.149",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Investigating Gaze Behavior of Dyads in a Collaborative Explanation Task using a Concept Map: 
Influence of Facilitation Prompts on Perspective Taking","Conference Paper||Short Paper"
"1e8f24d5-140d-4637-903d-01adea314581","1/7295",,"Ouyang, Fan||Chen, Si||Li, Xu||Jiao, Pengcheng||Sun, Dan","Bochum, Germany","2021-10-09T19:46:26Z","2021-10-09T15:44:06Z","2021-10-09T19:46:26Z","2021-10-09T15:44:06Z",,"2021-06","Network visualization tools have been designed to demonstrate varied aspects of online discussions in order to foster student engagement. However, extant empirical studies have indicated controversial results of the effect of those tools on student engagement. This research designs network visualizations to demonstrate student engagement from varied perspectives, and further uses the mixed method to empirically investigate the effects of network visualizations on students’ cognitive structures. Empirical research results indicate the social network visualization has the best effect on leaderstudents’ cognitive engagement; topic network visualization lessens the cognitive differences between leaderand regular students; although peripheral students consistently have a low level of cognitive engagement, the cognitive network visualization improves their cognitive engagement. Based on the results, this research proposes integrated implications by considering learning theory, pedagogical support and tool development.","Made available in DSpace on 2021-10-09T19:46:26Z (GMT). No. of bitstreams: 1
153-156.pdf: 460871 bytes, checksum: dd8e8e65981ecb66c61de39df32a5091 (MD5)
  Previous issue date: 2021-06",,"pp. 153-156","Ouyang, F., Chen, S., Li, X., Jiao, P., & Sun, D. (2021). Examining how Three Network Visualizations Influence Student Engagement in Online Discussions. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 153-156). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7304","https://doi.dx.org/10.22318/cscl2021.153",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Examining how Three Network Visualizations Influence Student Engagement in Online Discussions","Conference Paper||Short Paper"
"49d529f5-7fea-49b9-96dc-e43d276745be","1/7295",,"Steier, Rolf||Davidsen, Jacob","Bochum, Germany","2021-10-09T19:46:26Z","2021-10-09T15:44:06Z","2021-10-09T19:46:26Z","2021-10-09T15:44:06Z",,"2021-06","Interaction Analysis (IA) (Jordan & Henderson, 1995) is a fundamental reference in the learning sciences, and a core method within the International Journal of Computer Supported Collaborative Learning. Surprisingly, despite the vast number of citations and labs around the world practicing forms of interaction analysis, there have been few if any substantial efforts to articulate its central premises in the context of CSCL. Following a systematic review method, the purpose of this preliminary study is to provide an overview and foundation for investigating the ways that IA has been interpreted and applied in the field of CSCL. Our findings suggest that IA has been applied in a variety of computer-mediated learning contexts and arrangements which have required extending and adapting the method in novel ways. Our broader goal is to consider ongoing methodological and technological developments for the future directions of interaction analysis within CSCL.","Made available in DSpace on 2021-10-09T19:46:26Z (GMT). No. of bitstreams: 1
157-160.pdf: 325573 bytes, checksum: ed8dc0a21fc6d4439202310a8a3c2402 (MD5)
  Previous issue date: 2021-06",,"pp. 157-160","Steier, R. & Davidsen, J. (2021). Adapting Interaction Analysis to CSCL: A Systematic Review. In Hmelo-Silver, C. E., De Wever, B., & Oshima, J. (Eds.), Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021 (pp. 157-160). Bochum, Germany: International Society of the Learning Sciences.","https://repository.isls.org//handle/1/7305","https://doi.dx.org/10.22318/cscl2021.157",,"en_US","International Society of the Learning Sciences","Proceedings of the 14th International Conference on Computer-Supported Collaborative Learning - CSCL 2021","CSCL","Adapting Interaction Analysis to CSCL: A Systematic Review","Conference Paper||Short Paper"
